0,1,2,3,4,5,6,7
84,5,10,3,45,10,4,0
12,1,0,2,34,7,1,1
74,10,0,5,61,9,4,6
18,0,1,0,10,9,0,3
76,8,6,10,88,8,5,2
91,5,8,9,52,7,10,9
49,1,8,4,11,7,5,4
17,4,10,0,32,2,7,2
28,9,8,4,0,1,4,4
81,6,7,0,58,5,6,2
29,0,1,5,7,2,7,10
64,7,7,7,85,8,3,10
16,8,5,0,3,5,6,6
25,0,9,3,40,8,8,10
17,6,7,6,76,0,8,6
100,7,5,8,1,7,9,10
98,0,5,7,30,2,4,10
69,0,5,9,53,10,5,1
24,8,2,6,84,9,9,6
27,2,2,8,10,1,10,10
85,10,4,10,34,3,10,5
24,3,10,7,99,3,1,6
75,0,6,1,55,6,8,7
36,3,1,3,40,5,6,10
48,7,3,8,45,7,7,2
4,9,7,2,68,10,2,1
17,8,3,10,41,5,7,9
90,5,5,3,36,5,9,1
34,1,10,1,50,0,0,0
79,4,0,7,58,3,9,3
26,4,7,0,25,0,6,4
100,5,7,6,62,9,9,6
78,2,0,5,2,3,1,3
45,7,1,1,49,6,9,2
98,4,6,7,54,8,2,2
30,1,5,10,50,0,5,10
51,5,10,0,75,1,3,6
10,9,10,4,30,8,6,2
91,10,7,8,44,4,7,6
75,10,0,3,81,3,7,10
53,1,2,10,47,8,7,3
42,3,7,8,81,5,10,0
32,9,5,6,40,9,0,7
32,4,10,8,98,9,5,10
87,8,2,10,63,7,9,4
87,3,3,0,21,6,3,2
31,2,8,2,65,9,3,0
62,2,5,1,79,8,9,10
45,0,0,7,15,9,0,10
18,2,10,0,88,9,4,3
60,0,4,2,7,3,4,3
70,9,1,10,36,5,2,4
69,2,6,4,53,9,4,2
10,9,10,3,83,5,4,6
10,1,0,6,59,5,8,7
79,3,3,2,83,5,6,9
48,2,0,8,20,8,1,0
28,2,7,5,90,7,0,1
94,2,9,6,48,4,0,7
87,4,10,7,100,4,2,4
97,7,7,4,32,1,4,0
72,6,10,1,90,7,5,8
24,8,7,2,24,10,5,7
31,3,7,1,22,1,7,5
22,2,6,7,23,10,1,10
59,7,5,8,80,5,6,1
23,9,0,5,93,6,9,2
78,8,2,4,85,9,7,4
87,6,2,1,56,4,0,7
28,4,6,5,56,6,10,1
39,6,0,9,39,8,6,8
52,5,2,5,96,4,2,6
38,4,7,8,41,5,4,8
10,10,2,7,22,9,0,0
93,1,1,1,69,9,3,4
76,0,3,10,73,9,1,7
40,4,3,4,69,5,3,5
38,4,6,2,85,4,4,3
70,9,9,9,40,7,0,10
83,3,5,5,47,2,8,6
58,4,3,4,35,2,3,3
74,9,1,9,1,5,2,3
10,4,3,1,39,6,9,7
65,5,10,2,99,7,1,0
92,8,2,6,6,0,5,7
76,6,4,10,92,6,6,1
74,4,9,3,21,1,1,10
88,10,8,9,14,0,1,2
83,1,7,8,29,0,3,6
48,4,9,0,9,6,5,4
17,4,9,7,36,7,7,9
56,3,4,6,27,0,1,6
76,4,10,9,5,7,7,4
4,1,7,9,36,10,9,4
18,8,3,8,37,8,3,7
36,4,3,4,1,2,2,10
42,9,8,8,66,1,5,3
72,8,0,0,2,4,10,6
37,3,7,0,79,6,10,3
26,0,10,4,32,1,6,2
32,1,8,4,78,3,0,0
76,9,3,5,98,9,1,0
19,2,3,8,32,0,10,1
4,9,2,2,77,0,8,0
22,2,0,7,33,3,6,7
72,5,1,10,67,5,6,6
83,6,3,6,32,5,10,2
40,1,2,3,13,3,8,5
89,0,9,6,34,0,8,1
41,3,10,10,75,1,9,6
95,5,10,4,33,10,4,7
39,1,7,8,12,4,5,0
13,2,5,2,56,8,6,1
68,5,2,0,63,9,7,5
60,9,4,8,46,2,1,1
78,10,3,1,54,4,0,0
44,8,10,1,39,1,9,10
49,3,3,1,79,8,0,7
70,8,10,7,24,6,4,8
95,0,10,3,11,5,10,8
8,7,0,3,0,6,2,4
40,1,6,6,76,6,3,5
1,8,0,3,46,3,0,7
93,8,0,6,73,10,2,5
15,0,8,9,43,3,10,0
0,3,0,2,10,2,9,3
44,10,9,9,5,6,7,4
45,2,2,2,64,9,7,0
87,9,8,1,64,9,8,0
55,2,5,1,97,8,1,2
23,0,2,3,45,5,10,0
60,1,3,0,89,1,2,1
20,7,3,6,2,1,3,6
44,4,8,3,53,6,8,2
17,10,8,10,24,1,4,7
40,5,9,5,3,1,10,1
29,9,3,1,63,9,4,7
97,5,9,6,74,7,3,4
87,8,10,7,6,3,8,3
82,4,5,4,97,6,4,6
1,8,6,4,9,3,2,2
49,0,4,0,0,9,6,8
81,10,3,2,76,4,3,4
93,6,8,8,47,8,5,3
36,3,8,10,41,10,5,0
35,6,5,9,91,2,1,4
68,3,8,10,67,3,2,6
28,10,8,10,53,6,0,9
17,6,3,9,93,6,6,0
41,10,0,9,38,6,1,1
9,8,8,0,73,2,4,4
97,5,6,7,54,0,7,2
25,5,7,8,54,10,10,10
9,9,7,4,43,7,7,4
69,9,0,1,65,6,5,2
80,2,2,3,39,8,8,4
11,10,10,7,45,4,0,9
58,1,10,2,39,9,2,1
12,2,1,3,39,10,8,0
50,7,2,5,1,4,9,8
78,1,0,2,26,3,3,6
74,0,8,5,22,5,4,9
84,7,2,1,69,2,4,6
11,1,5,10,79,0,4,1
18,10,5,6,14,0,2,3
19,9,5,0,69,3,7,4
54,6,1,8,77,7,7,8
14,2,2,5,56,0,1,2
59,0,3,0,35,7,3,7
36,6,2,7,58,8,9,2
70,1,8,6,42,4,4,8
70,9,4,10,55,10,7,2
16,10,1,0,12,6,9,9
79,9,5,7,88,9,5,2
83,0,6,3,53,7,0,8
