,0,1,2,3,4,5,6,7,8
0,85,51,78,9,9,11,39,16,89
1,49,73,65,4,8,91,37,92,93
2,52,91,92,5,3,45,1,80,56
3,15,33,36,6,8,31,79,23,13
4,93,22,5,5,9,89,44,51,33
5,16,52,78,5,6,78,58,50,4
6,15,0,85,6,6,70,31,28,57
7,11,26,9,9,5,78,40,78,42
8,6,74,9,4,3,49,73,81,84
9,21,83,83,10,3,3,13,20,38
10,44,85,36,3,3,67,37,79,6
11,92,83,69,1,0,74,27,51,98
12,71,48,49,10,1,13,88,27,6
13,78,88,40,10,9,35,73,68,57
14,9,87,82,8,7,6,66,45,5
15,52,54,12,7,8,64,33,35,95
16,4,83,93,7,2,62,71,55,90
17,73,6,75,8,7,39,24,98,19
18,14,21,43,7,9,35,33,0,32
19,94,4,76,8,7,19,87,45,7
20,54,31,44,0,0,68,86,38,61
21,18,60,46,6,4,81,17,27,3
22,35,81,42,0,1,7,16,93,36
23,78,64,62,9,10,65,94,36,52
24,62,71,29,6,9,98,46,32,94
25,13,14,58,4,4,70,63,27,23
26,3,37,65,3,3,54,19,60,1
27,82,98,14,8,4,28,86,67,55
28,51,4,58,2,2,82,99,92,18
29,45,43,33,9,1,47,64,46,23
30,33,43,81,9,9,63,30,40,84
31,93,95,100,6,7,2,6,76,78
32,58,52,65,3,9,19,35,27,14
33,26,37,20,7,1,47,73,20,40
34,28,62,29,4,9,21,77,38,84
35,12,25,73,4,9,6,0,33,62
36,56,18,55,5,0,82,52,57,21
37,90,21,96,6,1,62,67,100,33
38,58,12,17,6,9,9,72,24,94
39,80,20,23,7,3,97,60,31,98
40,21,90,32,8,5,25,56,100,25
41,9,8,89,5,1,33,61,25,5
42,7,82,15,0,9,90,20,62,94
43,15,57,40,0,3,21,81,86,20
44,91,59,19,8,4,99,57,12,47
45,47,91,35,10,9,58,76,55,36
46,53,16,92,3,1,37,70,35,41
47,13,72,89,0,1,65,95,66,35
48,39,69,27,0,9,35,47,7,29
49,55,94,98,3,9,43,56,29,14
50,83,65,93,6,6,82,97,76,75
51,3,29,31,3,7,57,77,60,74
52,91,30,28,9,5,45,37,29,73
53,44,2,97,4,6,19,14,15,52
54,27,93,8,5,3,73,74,63,3
55,36,59,80,1,4,75,23,35,21
56,97,7,72,9,8,70,70,20,82
57,49,83,78,8,3,86,45,89,98
58,96,89,40,3,3,68,53,87,50
59,90,7,65,0,8,10,82,39,54
60,18,22,77,7,4,57,58,83,73
61,2,46,17,4,8,5,2,57,21
62,68,12,3,6,0,99,24,28,35
63,60,75,37,3,6,3,91,96,91
64,40,30,12,5,1,59,32,94,69
65,0,14,74,1,2,89,6,57,31
66,26,44,26,1,2,70,14,67,67
67,99,72,97,2,10,94,75,33,53
68,73,52,25,10,0,70,93,0,48
69,88,36,14,8,2,14,86,48,73
70,63,42,13,3,8,66,0,2,21
71,25,62,46,8,10,11,6,29,12
72,77,78,35,2,8,21,17,52,8
73,55,44,94,6,2,55,15,68,61
74,95,86,90,1,10,60,68,96,35
75,39,64,85,3,7,20,42,45,80
76,80,9,72,1,10,89,40,94,70
77,20,64,18,10,7,30,93,75,47
78,70,3,45,9,2,45,80,5,57
79,16,65,20,8,10,17,66,37,79
80,25,26,40,6,2,38,41,92,58
81,56,52,86,7,7,65,48,33,72
82,86,1,98,9,4,49,21,22,42
83,63,4,33,4,5,43,64,52,87
84,87,47,32,3,9,23,0,10,91
85,87,81,40,9,7,23,73,77,60
86,2,86,37,10,2,50,22,67,36
87,22,27,28,7,2,14,100,46,19
88,54,71,45,5,5,84,91,91,13
89,51,18,48,3,3,20,34,30,41
90,18,98,82,8,7,65,32,95,4
91,24,12,47,9,5,59,12,74,58
92,72,5,45,3,4,19,25,85,90
93,2,44,11,3,0,21,6,97,93
94,30,1,31,3,2,85,49,2,75
95,17,82,89,3,10,14,24,36,51
96,72,28,60,2,5,83,19,20,14
97,91,88,85,0,1,99,79,65,13
98,60,86,64,4,7,46,31,12,22
99,22,29,69,3,9,42,69,41,60
100,97,19,24,7,3,39,85,1,86
101,85,86,70,4,1,66,56,4,52
