0,1,2,3,4,5,6,7,8
10,10,78,9,9,10,10,10,89
10,10,65,4,8,10,10,10,93
10,10,92,5,3,10,1,10,56
10,10,36,6,8,10,10,10,13
10,10,5,5,9,10,10,10,33
10,10,78,5,6,10,10,10,4
10,0,85,6,6,10,10,10,57
10,10,9,9,5,10,10,10,42
6,10,9,4,3,10,10,10,84
10,10,83,10,3,3,10,10,38
10,10,36,3,3,10,10,10,6
10,10,69,1,0,10,10,10,98
10,10,49,10,1,10,10,10,6
10,10,40,10,9,10,10,10,57
9,10,82,8,7,6,10,10,5
10,10,12,7,8,10,10,10,95
4,10,93,7,2,10,10,10,90
10,6,75,8,7,10,10,10,19
10,10,43,7,9,10,10,0,32
10,4,76,8,7,10,10,10,7
10,10,44,0,0,10,10,10,61
10,10,46,6,4,10,10,10,3
10,10,42,0,1,7,10,10,36
10,10,62,9,10,10,10,10,52
10,10,29,6,9,10,10,10,94
10,10,58,4,4,10,10,10,23
3,10,65,3,3,10,10,10,1
10,10,14,8,4,10,10,10,55
10,4,58,2,2,10,10,10,18
10,10,33,9,1,10,10,10,23
10,10,81,9,9,10,10,10,84
10,10,100,6,7,2,6,10,78
10,10,65,3,9,10,10,10,14
10,10,20,7,1,10,10,10,40
10,10,29,4,9,10,10,10,84
10,10,73,4,9,6,0,10,62
10,10,55,5,0,10,10,10,21
10,10,96,6,1,10,10,10,33
10,10,17,6,9,9,10,10,94
10,10,23,7,3,10,10,10,98
10,10,32,8,5,10,10,10,25
9,8,89,5,1,10,10,10,5
7,10,15,0,9,10,10,10,94
10,10,40,0,3,10,10,10,20
10,10,19,8,4,10,10,10,47
10,10,35,10,9,10,10,10,36
10,10,92,3,1,10,10,10,41
10,10,89,0,1,10,10,10,35
10,10,27,0,9,10,10,7,29
10,10,98,3,9,10,10,10,14
10,10,93,6,6,10,10,10,75
3,10,31,3,7,10,10,10,74
10,10,28,9,5,10,10,10,73
10,2,97,4,6,10,10,10,52
10,10,8,5,3,10,10,10,3
10,10,80,1,4,10,10,10,21
10,7,72,9,8,10,10,10,82
10,10,78,8,3,10,10,10,98
10,10,40,3,3,10,10,10,50
10,7,65,0,8,10,10,10,54
10,10,77,7,4,10,10,10,73
2,10,17,4,8,5,2,10,21
10,10,3,6,0,10,10,10,35
10,10,37,3,6,3,10,10,91
10,10,12,5,1,10,10,10,69
0,10,74,1,2,10,6,10,31
10,10,26,1,2,10,10,10,67
10,10,97,2,10,10,10,10,53
10,10,25,10,0,10,10,0,48
10,10,14,8,2,10,10,10,73
10,10,13,3,8,10,0,2,21
10,10,46,8,10,10,6,10,12
10,10,35,2,8,10,10,10,8
10,10,94,6,2,10,10,10,61
10,10,90,1,10,10,10,10,35
10,10,85,3,7,10,10,10,80
10,9,72,1,10,10,10,10,70
10,10,18,10,7,10,10,10,47
10,3,45,9,2,10,10,5,57
10,10,20,8,10,10,10,10,79
10,10,40,6,2,10,10,10,58
10,10,86,7,7,10,10,10,72
10,1,98,9,4,10,10,10,42
10,4,33,4,5,10,10,10,87
10,10,32,3,9,10,0,10,91
10,10,40,9,7,10,10,10,60
2,10,37,10,2,10,10,10,36
10,10,28,7,2,10,10,10,19
10,10,45,5,5,10,10,10,13
10,10,48,3,3,10,10,10,41
10,10,82,8,7,10,10,10,4
10,10,47,9,5,10,10,10,58
10,5,45,3,4,10,10,10,90
2,10,11,3,0,10,6,10,93
10,1,31,3,2,10,10,2,75
10,10,89,3,10,10,10,10,51
10,10,60,2,5,10,10,10,14
10,10,85,0,1,10,10,10,13
10,10,64,4,7,10,10,10,22
10,10,69,3,9,10,10,10,60
10,10,24,7,3,10,10,1,86
10,10,70,4,1,10,10,4,52
10,10,75,3,10,10,10,10,99
4,10,44,3,8,10,10,10,78
10,10,44,1,4,10,10,10,99
10,1,0,7,3,10,10,10,35
10,10,43,10,6,10,10,10,63
10,10,5,0,3,10,10,10,5
10,10,48,8,0,5,10,10,94
2,10,42,7,9,10,10,7,2
10,10,41,8,1,10,10,10,83
10,10,89,5,10,10,10,10,68
10,6,80,2,3,10,10,10,28
10,10,92,10,6,10,4,10,24
10,10,35,6,6,10,10,10,48
10,1,1,10,3,10,10,10,75
10,10,54,3,9,10,10,10,17
10,10,92,6,9,10,10,10,41
10,10,15,0,10,10,10,6,21
10,8,60,1,1,10,10,10,76
10,4,33,6,2,4,10,10,29
10,10,9,1,10,10,10,10,21
10,4,91,4,8,10,10,10,54
10,10,94,4,2,10,10,10,76
10,10,86,5,5,10,10,10,62
10,10,25,8,0,10,10,10,92
10,10,72,5,6,10,4,10,58
10,10,17,9,6,10,10,10,73
10,10,13,9,7,10,10,10,83
10,10,85,5,2,10,10,10,35
10,10,68,3,5,10,10,0,35
10,10,9,10,1,10,10,10,100
10,10,59,5,8,10,10,10,92
10,4,37,4,9,10,10,10,73
10,10,65,7,3,10,10,10,71
10,2,19,10,8,10,10,10,3
10,10,12,6,7,10,10,10,24
10,10,80,1,1,10,9,10,68
10,10,58,0,5,10,10,10,53
10,10,50,5,0,10,10,10,0
10,10,79,9,1,10,10,10,77
10,10,18,4,9,10,10,10,53
10,10,74,10,4,10,10,10,79
10,10,69,1,10,10,10,10,62
10,10,93,10,2,10,10,10,77
10,10,23,7,8,10,4,10,36
10,10,100,5,7,10,10,8,35
10,10,17,2,1,10,10,2,0
10,10,19,1,6,10,10,10,79
10,10,79,2,8,10,10,10,22
10,10,95,0,10,10,10,10,14
10,10,48,2,5,10,10,10,10
10,10,64,0,2,10,10,10,65
10,10,26,6,2,10,10,10,51
10,10,33,8,9,10,10,10,65
10,10,24,7,1,6,10,10,87
10,10,5,8,9,10,10,10,14
5,10,65,7,4,10,8,7,76
4,10,23,3,5,10,3,5,42
10,10,3,6,9,0,10,10,63
3,10,76,0,7,10,10,10,76
10,10,47,3,5,10,9,10,23
10,3,14,2,3,10,10,10,39
0,6,36,0,10,10,10,10,100
10,7,44,5,10,10,10,10,1
10,10,90,0,0,10,10,10,26
10,10,57,1,2,10,10,10,99
10,10,45,0,10,10,10,2,50
10,10,30,5,9,10,10,10,15
10,10,73,8,1,10,10,10,56
10,10,11,4,4,10,10,10,8
10,10,89,3,6,10,10,10,63
10,10,53,2,6,10,10,10,61
10,10,34,6,5,10,10,10,5
10,10,54,10,0,10,10,10,93
10,10,82,10,7,9,10,10,27
10,10,13,1,9,9,10,10,85
10,10,23,9,8,10,10,10,98
10,10,88,8,4,2,10,10,15
10,10,36,7,7,10,10,10,73
10,10,22,3,9,10,10,10,85
10,6,73,8,10,10,10,10,64
10,10,63,3,2,10,10,10,87
10,10,73,6,9,10,10,10,15
10,10,100,7,8,10,10,10,62
10,10,5,1,10,10,10,10,63
10,10,92,0,4,10,10,8,44
10,10,25,7,3,10,10,10,20
10,10,59,7,7,10,10,8,92
10,10,3,8,6,10,10,10,50
10,10,63,1,7,10,10,10,45
10,10,25,1,7,10,10,10,41
5,10,90,5,10,1,1,10,99
10,10,25,4,10,10,10,10,88
10,10,17,4,2,10,10,10,27
10,10,31,6,9,10,10,10,77
10,10,92,10,4,10,10,8,100
10,10,39,2,0,10,10,10,21
10,10,68,10,6,10,10,10,2
10,10,100,8,2,10,10,10,43
10,10,23,4,2,10,10,10,49
10,10,6,4,9,10,10,3,26
10,10,90,9,2,10,10,10,58
5,10,16,6,7,10,10,5,24
10,10,10,9,9,10,10,10,55
10,10,43,6,7,8,10,10,59
0,10,79,10,4,10,10,10,61
10,10,48,6,8,10,10,10,38
10,10,28,8,5,10,10,10,46
10,10,4,5,5,10,10,10,13
10,10,22,7,0,10,10,10,41
10,10,47,4,2,10,10,10,51
10,10,65,10,7,10,10,10,87
10,10,45,6,3,10,10,10,40
10,10,9,6,8,10,10,10,4
10,10,19,3,2,10,10,10,85
10,10,94,1,9,9,10,10,45
10,10,99,5,10,10,10,10,59
10,10,69,0,0,10,10,10,24
10,10,16,10,10,10,10,10,37
10,10,70,9,3,10,10,10,45
10,10,94,0,2,10,10,10,73
10,10,49,9,4,2,10,10,48
10,10,35,3,7,10,10,10,95
10,10,78,5,1,5,10,10,81
10,10,98,5,10,10,10,8,84
10,10,29,1,8,10,10,10,29
10,4,45,7,3,10,10,10,68
10,10,56,6,8,10,10,10,55
10,10,65,3,8,10,10,10,51
10,10,83,8,4,7,10,5,20
10,10,78,10,6,10,10,10,16
10,10,23,3,10,10,10,10,60
10,10,66,1,8,9,3,10,20
10,10,63,7,5,10,10,0,81
10,10,21,0,8,10,2,10,91
10,8,34,4,9,10,10,10,50
10,10,81,3,7,10,10,10,47
10,10,40,4,1,10,10,10,13
10,10,100,10,7,10,10,10,62
10,10,0,10,10,10,10,10,4
10,10,95,10,3,10,10,10,11
0,10,10,3,6,10,10,10,48
10,10,0,6,7,0,10,10,21
10,0,76,8,5,10,10,10,72
10,10,73,1,9,10,10,10,63
10,10,52,6,7,10,10,4,91
10,10,27,2,4,10,10,10,38
10,1,79,4,3,10,10,10,81
10,10,50,1,9,10,10,5,2
10,10,86,0,2,10,10,10,32
10,10,5,10,0,10,10,10,77
0,7,10,6,10,10,10,10,50
10,10,43,0,7,10,10,10,30
10,7,87,1,8,7,10,10,86
1,6,46,3,3,2,10,10,37
10,3,27,10,8,10,7,10,37
10,10,53,10,1,10,10,2,70
4,10,59,8,2,10,10,10,70
10,10,62,9,8,6,10,10,45
10,10,26,3,5,10,10,10,8
10,10,33,9,6,10,5,10,50
10,10,62,3,6,10,10,10,26
10,10,66,3,1,10,10,10,12
2,10,71,4,0,10,10,10,83
10,10,16,8,2,10,10,10,33
10,10,60,5,7,10,10,10,88
10,10,14,6,7,10,10,10,45
10,10,19,3,8,10,10,10,98
10,10,2,7,9,10,10,10,87
10,10,43,0,0,10,10,10,20
10,10,67,8,3,10,10,10,68
10,10,41,1,0,10,10,10,55
10,10,50,0,2,10,10,10,40
10,10,63,1,6,10,10,10,52
5,10,8,0,6,8,10,3,81
10,10,30,2,1,10,10,10,64
10,10,89,0,10,10,10,10,79
10,10,54,10,3,1,1,10,22
10,10,97,5,8,10,10,10,100
10,10,27,1,10,10,10,10,7
5,10,84,1,0,10,10,10,25
10,10,65,9,0,0,8,10,36
10,10,18,4,7,10,10,10,94
10,10,27,4,1,10,10,8,85
10,10,81,9,7,10,5,10,40
10,10,36,7,7,10,10,10,94
10,3,80,10,6,10,10,10,99
10,10,19,8,5,10,10,10,19
10,10,70,0,0,10,10,10,32
10,10,53,3,0,10,7,10,92
0,10,46,5,0,10,10,10,32
10,10,14,9,8,10,10,10,5
10,10,27,1,4,10,7,10,69
10,10,64,3,10,10,10,10,84
10,10,24,7,8,10,10,10,3
10,8,24,10,1,10,2,10,20
10,10,37,2,7,10,10,0,64
10,10,61,9,6,10,0,10,92
10,10,70,5,6,10,10,10,56
10,10,100,7,7,10,10,10,46
10,10,88,3,4,10,10,10,84
10,10,12,9,0,10,0,10,45
4,10,69,8,7,10,1,10,56
10,10,15,6,1,10,10,10,1
8,10,78,5,0,10,10,10,51
10,10,23,8,4,10,10,10,72
10,10,13,3,1,10,10,5,92
10,10,41,8,5,10,10,10,13
10,10,65,0,1,10,10,10,61
10,10,59,9,3,10,10,10,45
10,10,66,1,5,10,10,10,67
10,10,6,7,4,10,10,10,50
1,10,47,3,8,10,10,10,16
