,0,1,2,3,4,5,6,7,8,9,10
0,,2.0,7.0,,1.0,,6.0,1.0,,,
1,,,7.0,9.0,,6.0,,0.0,,,8.0
2,6.0,10.0,1.0,,,,9.0,,10.0,,1.0
3,6.0,,2.0,1.0,10.0,,8.0,,0.0,1.0,4.0
4,,3.0,,7.0,4.0,3.0,,,,5.0,
5,8.0,8.0,,4.0,9.0,9.0,7.0,1.0,9.0,1.0,
6,5.0,1.0,,,3.0,,,9.0,7.0,,5.0
7,8.0,10.0,,,0.0,1.0,,2.0,6.0,,5.0
8,,,5.0,0.0,,7.0,,,,,
9,,,5.0,,,,6.0,3.0,3.0,10.0,8.0
10,6.0,3.0,10.0,,,,,6.0,1.0,3.0,
11,9.0,6.0,10.0,7.0,4.0,,6.0,0.0,,,
12,,5.0,6.0,3.0,,,10.0,,1.0,4.0,
13,1.0,9.0,10.0,7.0,,,2.0,10.0,6.0,7.0,
14,,2.0,0.0,8.0,7.0,,10.0,1.0,,1.0,
15,,,5.0,10.0,,7.0,,,8.0,,9.0
16,2.0,,,0.0,10.0,10.0,,,10.0,,2.0
17,1.0,,,,,0.0,,,8.0,,
18,,,,4.0,0.0,1.0,3.0,,5.0,,
19,10.0,8.0,6.0,,10.0,4.0,7.0,,4.0,,9.0
20,,6.0,1.0,1.0,,7.0,,,,,
21,9.0,6.0,,6.0,,3.0,,,6.0,0.0,
22,,,6.0,,0.0,,1.0,,,2.0,
23,,,0.0,1.0,,,0.0,,,0.0,9.0
24,4.0,,,8.0,,5.0,,1.0,,,
25,7.0,1.0,5.0,10.0,,9.0,,0.0,,10.0,
26,,4.0,,3.0,,0.0,,,,,8.0
27,6.0,,7.0,,,,5.0,1.0,,,
28,0.0,,10.0,,,,,7.0,3.0,,
29,,,,,,,,5.0,5.0,,
30,,9.0,,,3.0,,9.0,,2.0,,
31,1.0,,7.0,,2.0,,1.0,4.0,10.0,5.0,10.0
32,,,0.0,,0.0,9.0,6.0,5.0,2.0,,
33,,,,2.0,,7.0,,3.0,,,
34,2.0,,5.0,2.0,0.0,,,,,3.0,
35,10.0,5.0,2.0,,,,8.0,1.0,,,5.0
36,4.0,1.0,,9.0,0.0,4.0,,,3.0,7.0,
37,,9.0,,,,,,,,,2.0
38,,,,1.0,2.0,5.0,,4.0,,1.0,
39,9.0,,10.0,,1.0,10.0,,0.0,4.0,1.0,8.0
40,,5.0,,,1.0,9.0,,2.0,10.0,,9.0
41,,8.0,,9.0,4.0,3.0,0.0,5.0,9.0,0.0,
42,,,,,,7.0,5.0,,9.0,0.0,
43,,,,7.0,5.0,,10.0,7.0,3.0,10.0,1.0
44,8.0,3.0,5.0,,,7.0,,1.0,,9.0,6.0
45,,5.0,3.0,,,,2.0,6.0,,,
46,4.0,3.0,,5.0,10.0,1.0,,7.0,,6.0,
47,4.0,5.0,,1.0,9.0,,1.0,,,6.0,0.0
48,,,2.0,,,6.0,,,3.0,,5.0
49,,,,,3.0,9.0,,2.0,,,9.0
50,9.0,0.0,1.0,,7.0,1.0,,10.0,9.0,5.0,4.0
51,,8.0,4.0,1.0,3.0,1.0,,6.0,2.0,,6.0
52,,,8.0,,0.0,1.0,,0.0,,7.0,4.0
53,,2.0,,5.0,7.0,,,10.0,6.0,,
54,,,10.0,,,6.0,3.0,0.0,,,
55,9.0,5.0,10.0,,,,,,9.0,,
56,8.0,4.0,3.0,8.0,1.0,,4.0,4.0,10.0,4.0,
57,,,0.0,7.0,5.0,7.0,,,,,
58,,,3.0,7.0,6.0,6.0,9.0,,6.0,8.0,
59,,,6.0,1.0,,9.0,,9.0,5.0,,8.0
60,1.0,,,,,1.0,,6.0,3.0,1.0,6.0
61,,7.0,,,,9.0,,4.0,4.0,3.0,6.0
62,8.0,10.0,0.0,8.0,3.0,,9.0,10.0,7.0,10.0,
63,,6.0,,,10.0,4.0,,6.0,7.0,5.0,
64,,,,9.0,,,,4.0,4.0,4.0,
65,,,8.0,,,,5.0,9.0,,,3.0
66,9.0,,,8.0,,0.0,0.0,8.0,,,0.0
67,,0.0,9.0,,,,,10.0,,,10.0
68,8.0,,,10.0,,7.0,7.0,0.0,6.0,7.0,7.0
69,,7.0,,,,3.0,,5.0,9.0,,
70,0.0,,,,,,,,,2.0,
71,5.0,2.0,0.0,2.0,,,5.0,8.0,1.0,,
72,7.0,,2.0,9.0,,,,,,,1.0
73,9.0,,6.0,,,2.0,,2.0,,,9.0
74,3.0,10.0,,9.0,0.0,,8.0,,2.0,4.0,
75,,1.0,10.0,1.0,,,,,,6.0,7.0
76,,1.0,,1.0,10.0,9.0,4.0,,9.0,,
77,10.0,,6.0,,,1.0,,,,2.0,9.0
78,,,7.0,2.0,7.0,,10.0,4.0,7.0,1.0,
79,0.0,0.0,6.0,,3.0,,7.0,4.0,9.0,0.0,
80,,5.0,4.0,,,3.0,2.0,0.0,,,
81,,,,,6.0,3.0,9.0,,7.0,10.0,
82,,,9.0,5.0,1.0,,9.0,3.0,1.0,,1.0
83,1.0,1.0,4.0,0.0,8.0,0.0,10.0,,,,
84,,0.0,0.0,6.0,,6.0,,3.0,4.0,,
85,5.0,,0.0,10.0,,,,3.0,4.0,,
86,,6.0,3.0,,,,8.0,,,,6.0
87,1.0,,,0.0,,,,,6.0,,8.0
88,,,10.0,,6.0,,3.0,6.0,,2.0,2.0
89,,,6.0,,6.0,,4.0,,1.0,,
90,8.0,10.0,,10.0,,,,,,8.0,8.0
91,,,1.0,,,0.0,,1.0,5.0,9.0,
92,10.0,,4.0,5.0,7.0,0.0,,8.0,,7.0,
93,7.0,4.0,2.0,,4.0,,0.0,,4.0,,1.0
94,,4.0,,4.0,0.0,2.0,,,0.0,2.0,0.0
95,,7.0,9.0,,0.0,,,7.0,,2.0,
96,2.0,8.0,1.0,1.0,,,7.0,,9.0,,5.0
97,4.0,2.0,4.0,,,1.0,10.0,,,,
98,,10.0,8.0,10.0,4.0,2.0,8.0,2.0,4.0,7.0,4.0
99,2.0,6.0,3.0,5.0,6.0,,,9.0,1.0,,9.0
100,0.0,,5.0,,,,4.0,9.0,,,2.0
101,,,9.0,,1.0,9.0,8.0,1.0,,,8.0
102,,,0.0,6.0,,,7.0,,6.0,0.0,
103,,8.0,1.0,1.0,9.0,5.0,9.0,3.0,6.0,,0.0
104,6.0,2.0,0.0,3.0,,2.0,,8.0,10.0,2.0,4.0
105,0.0,,8.0,9.0,1.0,6.0,8.0,,,,
106,10.0,0.0,,2.0,7.0,,2.0,0.0,,,8.0
107,2.0,,,,5.0,,,3.0,,4.0,8.0
108,,,,,6.0,,4.0,9.0,,10.0,1.0
109,0.0,,,5.0,6.0,,3.0,,,8.0,
110,4.0,,,6.0,4.0,,,6.0,3.0,,
111,1.0,,8.0,,,,,,,,1.0
112,0.0,,10.0,,,0.0,,7.0,,8.0,
113,5.0,,10.0,4.0,0.0,5.0,,7.0,,3.0,3.0
114,6.0,,,,,1.0,1.0,,4.0,3.0,7.0
115,,,3.0,,5.0,,3.0,7.0,,8.0,
116,1.0,2.0,6.0,8.0,8.0,,8.0,2.0,7.0,,7.0
117,6.0,5.0,1.0,,,0.0,,,4.0,,10.0
118,,5.0,,,1.0,,4.0,0.0,,9.0,3.0
119,1.0,,,4.0,,2.0,7.0,3.0,2.0,,3.0
120,,5.0,10.0,7.0,,,10.0,3.0,,4.0,
121,,,0.0,10.0,,1.0,8.0,10.0,7.0,,
122,10.0,,4.0,3.0,7.0,3.0,6.0,,5.0,9.0,
123,,4.0,5.0,,6.0,10.0,,,,0.0,
124,2.0,6.0,4.0,4.0,,10.0,,0.0,5.0,1.0,
125,,,,,,,,,9.0,,6.0
126,6.0,10.0,,,5.0,,,,,8.0,
127,,,5.0,,10.0,,2.0,,10.0,0.0,
128,9.0,,,,1.0,8.0,9.0,,3.0,0.0,
129,,,,,7.0,,5.0,,,6.0,
130,,,0.0,6.0,5.0,8.0,0.0,10.0,4.0,0.0,
131,,1.0,,8.0,6.0,1.0,,4.0,,5.0,5.0
132,,,,8.0,2.0,1.0,,,0.0,6.0,5.0
133,3.0,4.0,0.0,,,,,,,,
134,,,,,1.0,,3.0,,9.0,3.0,9.0
135,,,0.0,,,,,8.0,,8.0,8.0
136,,,,,4.0,,,,,,
137,,7.0,,0.0,9.0,2.0,,,9.0,3.0,2.0
138,8.0,,6.0,4.0,4.0,,,,,4.0,
139,4.0,9.0,,2.0,6.0,,4.0,,,,2.0
140,,5.0,,,1.0,,,,3.0,,8.0
141,,,,7.0,3.0,,,6.0,4.0,9.0,3.0
142,,9.0,,9.0,1.0,,,1.0,6.0,,
143,,,8.0,8.0,3.0,,,5.0,7.0,2.0,
144,,6.0,7.0,,5.0,,8.0,,,4.0,
145,4.0,,,,,,3.0,,9.0,0.0,
146,,7.0,,4.0,0.0,6.0,,,,,1.0
147,1.0,7.0,,10.0,1.0,2.0,8.0,,10.0,8.0,5.0
148,,2.0,10.0,6.0,,7.0,6.0,6.0,3.0,4.0,
149,4.0,,9.0,9.0,6.0,4.0,,,10.0,3.0,9.0
150,,,,,5.0,6.0,,3.0,6.0,,
151,,6.0,,3.0,8.0,,,,2.0,1.0,
152,,,5.0,9.0,2.0,4.0,2.0,0.0,,,
153,,10.0,,,,3.0,,,,3.0,
154,7.0,0.0,,,,,,,,5.0,0.0
155,,1.0,7.0,,,0.0,7.0,,0.0,,
156,,,,,,,10.0,1.0,4.0,,
157,,,10.0,5.0,6.0,7.0,7.0,8.0,6.0,,0.0
158,0.0,,,,,0.0,,,1.0,9.0,9.0
159,6.0,,7.0,,7.0,,2.0,,,,10.0
160,,,9.0,2.0,2.0,10.0,,2.0,10.0,3.0,8.0
161,,,,8.0,,6.0,,7.0,0.0,,5.0
162,8.0,,,0.0,5.0,3.0,,,10.0,,3.0
163,,,4.0,0.0,4.0,,,,,,
164,7.0,,5.0,,,5.0,6.0,,,,5.0
