,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,,1.0,9.0,,1.0,7,,1.0,6.0,,8.0,
1,,9.0,,,,,,4,,0.0,,0.0,5.0,
2,,1.0,,,,5.0,,4,,10.0,6.0,,,9.0
3,4.0,,,,6.0,2.0,,8,6.0,7.0,,6.0,9.0,
4,4.0,0.0,,9.0,,,,9,,,5.0,2.0,9.0,
5,,,,10.0,0.0,8.0,4.0,9,,4.0,,2.0,,5.0
6,,,8.0,10.0,,2.0,,3,,,8.0,,10.0,
7,3.0,,1.0,3.0,8.0,2.0,,7,,,7.0,,7.0,8.0
8,,6.0,,4.0,4.0,3.0,,7,,,,,,
9,2.0,,6.0,,5.0,8.0,,6,4.0,1.0,10.0,7.0,,
10,,10.0,8.0,0.0,2.0,,,8,3.0,2.0,7.0,1.0,,
11,,,8.0,,,0.0,,9,6.0,4.0,6.0,,,
12,2.0,,,,10.0,8.0,3.0,5,,,6.0,4.0,,
13,,,,,,8.0,,9,2.0,,2.0,1.0,2.0,7.0
14,,7.0,0.0,,7.0,7.0,,8,0.0,7.0,,1.0,,5.0
15,,7.0,2.0,,0.0,8.0,5.0,5,,6.0,5.0,,,6.0
16,8.0,,1.0,8.0,9.0,3.0,1.0,5,9.0,,7.0,8.0,0.0,3.0
17,1.0,8.0,,3.0,,10.0,,10,3.0,,,7.0,,
18,0.0,,0.0,,,1.0,,1,,,,2.0,3.0,8.0
19,,2.0,,,,,9.0,4,6.0,1.0,,7.0,3.0,7.0
20,4.0,,1.0,,,9.0,8.0,9,,7.0,7.0,,8.0,
21,,,,0.0,0.0,8.0,,0,,6.0,,,,
22,9.0,,4.0,,,9.0,,4,,6.0,6.0,,,6.0
23,,,6.0,9.0,,2.0,,9,5.0,,10.0,,,
24,,,,,5.0,,8.0,6,6.0,,9.0,,7.0,
25,,,,9.0,2.0,,,8,,,3.0,6.0,7.0,10.0
26,,,,,5.0,8.0,0.0,2,2.0,,0.0,3.0,,
27,,,10.0,,,,5.0,8,,10.0,7.0,,,10.0
28,1.0,0.0,,3.0,,,,0,0.0,5.0,,0.0,10.0,3.0
