,0,1,2,3,4
0,,1,,,
1,2.0,3,,,2.0
2,,9,,,
3,,10,,9.0,
4,,3,,2.0,9.0
5,7.0,5,,0.0,1.0
6,2.0,5,10.0,,
7,9.0,5,,5.0,
8,,9,6.0,1.0,
9,,2,,,3.0
10,8.0,8,,0.0,
11,7.0,5,6.0,10.0,8.0
12,,9,9.0,,
13,8.0,3,,0.0,
14,8.0,9,4.0,,
15,,7,2.0,10.0,
16,8.0,10,10.0,3.0,0.0
17,4.0,6,,5.0,4.0
18,,5,1.0,,10.0
19,10.0,4,7.0,,
20,,1,10.0,0.0,
21,,2,,1.0,9.0
22,,1,,7.0,
23,0.0,2,,10.0,
24,0.0,3,10.0,,
25,9.0,0,7.0,7.0,8.0
26,,0,1.0,,
27,,8,7.0,3.0,5.0
28,6.0,3,,,
29,,5,3.0,9.0,0.0
30,2.0,0,,8.0,
31,,8,,,
32,,1,,0.0,8.0
33,8.0,4,5.0,6.0,5.0
34,9.0,4,,,
35,10.0,9,1.0,3.0,4.0
36,6.0,1,3.0,4.0,8.0
37,9.0,2,,,
38,1.0,10,,,4.0
39,,10,,,
40,,2,3.0,,
41,,2,,,1.0
42,4.0,6,,,
43,,0,,3.0,
44,8.0,8,,1.0,6.0
45,,2,,,0.0
46,,1,10.0,2.0,
47,0.0,4,10.0,4.0,0.0
48,,10,4.0,2.0,
49,10.0,2,4.0,6.0,
50,6.0,5,1.0,,
51,,9,5.0,5.0,
52,,4,5.0,3.0,
53,,6,5.0,,1.0
54,1.0,5,,,9.0
55,,6,,,
56,7.0,8,,,10.0
57,6.0,2,4.0,,
58,1.0,9,,,
59,,4,,3.0,
60,4.0,8,3.0,,
61,0.0,4,8.0,9.0,
62,,2,,10.0,1.0
63,,3,9.0,0.0,6.0
64,,10,,4.0,
65,,1,1.0,,10.0
66,,5,10.0,,8.0
67,2.0,4,0.0,1.0,
68,,1,10.0,,7.0
69,3.0,2,,,
70,,6,9.0,,0.0
71,,5,,2.0,9.0
72,7.0,2,7.0,10.0,7.0
73,3.0,6,10.0,,5.0
74,,5,,0.0,4.0
75,,7,,,
76,3.0,7,,8.0,
77,,6,4.0,,1.0
78,,1,7.0,9.0,0.0
79,,8,,,10.0
80,,4,,,8.0
81,,9,,5.0,9.0
82,9.0,4,,8.0,
83,4.0,3,10.0,4.0,
84,0.0,3,4.0,10.0,9.0
85,9.0,10,,,
86,9.0,9,,6.0,3.0
87,8.0,3,4.0,10.0,
88,9.0,5,,,4.0
89,10.0,1,0.0,4.0,8.0
90,,1,,10.0,7.0
91,,4,7.0,,
92,10.0,1,,,
93,,7,,0.0,
94,2.0,6,6.0,7.0,
95,,9,,3.0,
96,7.0,9,,9.0,9.0
97,,2,,1.0,8.0
98,0.0,10,,3.0,
99,1.0,9,0.0,,7.0
100,,4,,,
101,2.0,1,,8.0,4.0
102,,2,,7.0,10.0
103,4.0,4,,,
104,0.0,9,,,
105,,9,4.0,2.0,
106,6.0,5,,1.0,
107,,0,,3.0,4.0
108,4.0,10,3.0,,1.0
109,1.0,5,,,4.0
110,,3,3.0,7.0,7.0
111,,3,1.0,,
112,8.0,2,4.0,10.0,
113,2.0,5,9.0,6.0,3.0
114,4.0,3,5.0,2.0,
115,5.0,2,,6.0,
116,,1,,10.0,
117,5.0,10,3.0,3.0,3.0
118,7.0,8,7.0,4.0,4.0
119,5.0,4,2.0,2.0,
120,,1,0.0,,
121,,0,2.0,5.0,
122,8.0,2,,0.0,
123,8.0,3,,9.0,2.0
124,3.0,8,,,3.0
125,5.0,3,,,
126,,10,2.0,,3.0
127,,9,1.0,,6.0
128,,1,5.0,,
129,,9,2.0,0.0,
130,,9,7.0,6.0,
131,,3,5.0,1.0,1.0
132,,2,2.0,10.0,
133,,6,4.0,7.0,7.0
134,,1,,,
135,,6,,,
136,,2,,3.0,2.0
137,1.0,1,,,3.0
138,7.0,2,,,1.0
139,0.0,5,,5.0,
140,1.0,0,,6.0,7.0
141,,9,7.0,7.0,3.0
142,5.0,2,1.0,,
143,3.0,2,1.0,,
144,2.0,2,,1.0,
145,10.0,3,5.0,7.0,1.0
146,,6,0.0,,
147,,4,4.0,1.0,
148,8.0,9,8.0,5.0,9.0
149,2.0,9,9.0,5.0,
150,1.0,9,0.0,1.0,
151,6.0,2,9.0,6.0,
152,,1,,3.0,4.0
153,,0,9.0,,3.0
154,10.0,6,,10.0,
155,,9,,5.0,0.0
156,,1,9.0,,3.0
157,3.0,9,5.0,,4.0
158,10.0,4,,,5.0
159,0.0,6,,,4.0
160,2.0,10,0.0,,
161,,4,0.0,,
162,7.0,1,,,8.0
163,0.0,1,1.0,0.0,
164,3.0,8,7.0,4.0,
165,9.0,9,,2.0,2.0
166,,7,,6.0,
167,0.0,10,10.0,4.0,7.0
168,4.0,9,,4.0,9.0
169,1.0,7,8.0,0.0,
170,,8,,5.0,8.0
171,8.0,6,,1.0,8.0
172,4.0,3,,,
173,6.0,4,5.0,6.0,
174,,5,6.0,7.0,
175,10.0,1,,9.0,3.0
176,0.0,10,,6.0,1.0
177,,5,,,
178,2.0,8,,,
179,5.0,3,,5.0,
180,6.0,1,2.0,3.0,8.0
181,,2,,5.0,0.0
182,,0,7.0,,
183,1.0,1,,5.0,
184,,3,8.0,5.0,
185,,1,8.0,6.0,
186,2.0,10,5.0,3.0,3.0
187,8.0,10,7.0,,
188,,7,,2.0,
189,,8,,,
190,4.0,8,,,2.0
191,3.0,9,2.0,,
192,5.0,2,,,
193,2.0,10,,10.0,
194,,9,6.0,6.0,
195,8.0,2,0.0,6.0,
196,,4,,7.0,
197,,9,10.0,,
198,,5,1.0,5.0,
199,,8,,,
200,,3,,1.0,
201,3.0,6,9.0,,0.0
202,,6,,,10.0
203,,6,1.0,,5.0
204,,9,,8.0,
205,,9,,7.0,
206,,0,,,6.0
207,,0,,0.0,3.0
208,0.0,1,,,
209,,6,,,
210,,9,4.0,,
211,7.0,7,,,
212,3.0,8,10.0,,10.0
213,4.0,10,3.0,,
214,,4,5.0,2.0,8.0
215,,2,10.0,,
216,,7,,5.0,
217,,9,8.0,1.0,1.0
218,2.0,5,,,
219,,10,,,
220,9.0,7,8.0,,3.0
221,,5,10.0,,
222,3.0,1,3.0,10.0,3.0
223,,10,,2.0,9.0
224,2.0,6,0.0,,2.0
225,,5,3.0,,
226,6.0,6,,4.0,6.0
227,,9,0.0,3.0,7.0
228,,4,10.0,,1.0
229,2.0,1,,10.0,9.0
230,2.0,6,10.0,8.0,0.0
231,,3,,,5.0
232,9.0,4,,7.0,7.0
233,,1,6.0,9.0,
234,,2,,,
235,7.0,3,3.0,10.0,7.0
236,1.0,10,,,3.0
237,,4,4.0,,
238,,7,,9.0,
239,6.0,5,6.0,,
240,6.0,8,2.0,1.0,2.0
241,8.0,7,6.0,0.0,6.0
242,9.0,3,,6.0,
243,4.0,10,10.0,,9.0
244,3.0,0,,,0.0
245,,10,,,
246,,10,6.0,,8.0
247,,7,0.0,,
248,3.0,4,,,
249,,2,10.0,,
250,,2,,10.0,1.0
251,4.0,8,,5.0,8.0
252,8.0,9,,4.0,
253,,5,,,6.0
254,1.0,10,,6.0,9.0
255,8.0,5,,,7.0
256,0.0,9,,,3.0
257,,5,,3.0,0.0
258,,9,10.0,,2.0
259,,9,5.0,,
260,5.0,6,5.0,,2.0
261,4.0,8,,8.0,9.0
262,0.0,10,1.0,10.0,
263,,5,,,7.0
264,1.0,3,,8.0,
265,0.0,2,,6.0,
266,4.0,6,3.0,,2.0
267,,7,,,
268,7.0,6,3.0,,
269,,10,6.0,9.0,6.0
270,,9,1.0,,
271,,6,,,5.0
272,10.0,10,3.0,,
273,,4,9.0,,
274,,5,7.0,1.0,0.0
275,,10,,,
276,,7,0.0,4.0,10.0
277,,0,,,
278,,7,7.0,,9.0
279,,6,7.0,1.0,
280,,2,,6.0,7.0
281,,5,,,1.0
282,4.0,2,8.0,0.0,
283,7.0,10,,5.0,
284,7.0,8,,,
285,5.0,3,,,
286,8.0,6,,,2.0
287,,2,6.0,8.0,5.0
288,9.0,6,,9.0,4.0
289,9.0,9,7.0,,
290,,1,3.0,,
291,8.0,6,,,0.0
292,9.0,4,4.0,,3.0
293,,1,0.0,,5.0
294,,10,7.0,,6.0
295,10.0,1,0.0,4.0,4.0
296,3.0,2,,3.0,
297,7.0,5,4.0,2.0,5.0
298,,9,,,
299,10.0,4,0.0,,7.0
300,,10,,6.0,4.0
301,,6,,8.0,8.0
302,4.0,2,,2.0,
303,,5,8.0,,10.0
304,0.0,4,,5.0,
305,3.0,3,,,8.0
306,,1,7.0,4.0,8.0
307,,1,,,
308,4.0,2,7.0,,
309,,9,7.0,3.0,
310,,9,8.0,0.0,
311,6.0,6,3.0,,
312,,3,,,
313,,8,1.0,5.0,2.0
314,,1,,8.0,
315,,6,3.0,,9.0
316,,10,7.0,,7.0
317,8.0,2,9.0,5.0,4.0
318,,0,,,
319,6.0,10,7.0,,
320,,10,2.0,,1.0
321,1.0,10,,5.0,
322,7.0,2,10.0,,
323,,1,7.0,,6.0
324,0.0,6,8.0,,
325,3.0,5,,2.0,
326,,7,7.0,,9.0
327,7.0,0,6.0,,1.0
328,,9,,5.0,10.0
329,8.0,4,,,
330,7.0,5,,0.0,
331,10.0,5,3.0,4.0,
332,,7,,,10.0
333,,0,8.0,,
334,5.0,5,2.0,1.0,8.0
335,,7,8.0,,
336,1.0,1,3.0,,
337,2.0,2,2.0,,
338,1.0,4,,,0.0
339,1.0,9,,7.0,8.0
340,,4,4.0,4.0,5.0
341,7.0,3,,,
342,,7,2.0,4.0,5.0
343,7.0,6,7.0,10.0,
344,2.0,3,8.0,,3.0
345,10.0,9,5.0,1.0,9.0
346,9.0,6,6.0,2.0,9.0
347,5.0,5,6.0,,
348,,7,,3.0,6.0
349,6.0,4,,7.0,0.0
350,7.0,2,0.0,,6.0
351,,8,,9.0,4.0
352,9.0,3,,,
353,,9,,,
354,,10,,,
355,2.0,7,,2.0,
356,,4,6.0,1.0,0.0
357,9.0,2,,7.0,
358,5.0,1,,2.0,
359,1.0,3,,3.0,10.0
360,1.0,7,,,10.0
361,,3,6.0,,
362,,1,,,
363,8.0,10,1.0,,
364,5.0,4,0.0,9.0,0.0
365,,10,,1.0,1.0
366,,2,,,
367,,6,10.0,,
368,0.0,2,,,
369,,2,7.0,4.0,1.0
370,1.0,1,,3.0,
371,5.0,4,1.0,,
372,,5,5.0,3.0,
373,4.0,3,,,3.0
374,1.0,9,2.0,3.0,
375,1.0,4,5.0,,
376,0.0,9,,,
377,6.0,8,0.0,8.0,
378,,6,,6.0,0.0
379,9.0,2,7.0,6.0,
380,,9,,,8.0
381,7.0,9,,,8.0
382,1.0,10,10.0,,
383,,6,,,4.0
384,,10,7.0,5.0,
385,,3,,0.0,4.0
386,,6,,,
387,5.0,1,,,
388,7.0,10,,,
389,,10,7.0,0.0,
390,4.0,4,,4.0,
391,2.0,4,8.0,,
392,2.0,0,,9.0,
393,,5,,,7.0
394,7.0,8,,8.0,
395,,4,6.0,2.0,
396,,1,,,
397,,8,,,4.0
398,,5,4.0,1.0,
399,,5,1.0,0.0,
400,8.0,10,,,
401,,7,,,
402,,0,6.0,,
403,,8,6.0,9.0,0.0
404,0.0,2,,,10.0
405,,3,,1.0,
406,7.0,2,6.0,,4.0
407,,10,,2.0,8.0
408,,9,,2.0,2.0
409,5.0,8,8.0,,4.0
410,6.0,6,8.0,5.0,4.0
411,,3,6.0,1.0,7.0
412,2.0,0,,0.0,
413,,4,9.0,,
414,7.0,10,0.0,4.0,
415,,2,,,10.0
416,4.0,9,,3.0,2.0
417,4.0,10,,10.0,
418,,6,10.0,10.0,
419,4.0,5,,5.0,4.0
420,,1,7.0,9.0,2.0
421,2.0,7,2.0,,
422,7.0,1,2.0,,
423,10.0,4,3.0,7.0,6.0
424,,7,1.0,,
425,2.0,5,,10.0,
426,,7,7.0,1.0,6.0
427,,8,,,4.0
428,,5,4.0,9.0,9.0
429,4.0,9,1.0,,2.0
430,,4,8.0,,6.0
431,,8,7.0,,8.0
432,3.0,5,,,
433,,0,10.0,,
434,2.0,9,2.0,,
435,1.0,10,,0.0,10.0
436,,3,8.0,5.0,
437,,10,8.0,10.0,
438,6.0,8,,,
439,,4,0.0,6.0,
440,,2,1.0,0.0,
441,,9,,,
442,6.0,7,,6.0,0.0
443,3.0,4,4.0,5.0,
444,,9,,4.0,
445,,7,1.0,,
446,,10,,,
447,3.0,3,8.0,5.0,7.0
448,1.0,8,9.0,,0.0
449,10.0,4,,0.0,10.0
450,,9,3.0,,
451,,9,,0.0,6.0
452,,1,,3.0,1.0
453,2.0,8,,,
454,,6,,7.0,
455,10.0,6,8.0,7.0,
456,,1,3.0,,
457,8.0,4,,,
458,,6,,,4.0
459,,5,1.0,,2.0
460,6.0,0,0.0,0.0,7.0
461,2.0,4,,,
462,8.0,0,,,
463,,7,3.0,2.0,
464,,1,3.0,,10.0
465,4.0,10,,,
466,8.0,4,9.0,7.0,0.0
467,1.0,8,2.0,,
468,5.0,4,10.0,0.0,5.0
469,,0,,,
470,,2,,,
471,,8,6.0,1.0,
472,5.0,5,9.0,,
473,,2,7.0,,0.0
474,1.0,8,,,
475,2.0,6,,,
476,10.0,3,,,1.0
477,5.0,0,,,6.0
478,1.0,2,6.0,,0.0
479,10.0,6,,,6.0
480,,5,5.0,,
481,,6,8.0,,1.0
482,10.0,2,5.0,0.0,9.0
483,,1,,,1.0
484,10.0,5,,10.0,
485,6.0,1,,,7.0
486,2.0,1,,7.0,
487,5.0,0,7.0,8.0,
488,,5,4.0,2.0,5.0
489,,3,,4.0,6.0
490,9.0,6,,5.0,
491,6.0,9,5.0,4.0,7.0
492,,9,0.0,,3.0
493,,6,,0.0,4.0
494,,2,4.0,,
495,,1,,,
496,4.0,3,,,8.0
497,6.0,1,,9.0,
498,3.0,7,8.0,,
499,,6,,,
500,0.0,4,1.0,3.0,
501,0.0,4,0.0,0.0,
502,0.0,7,7.0,,
503,5.0,7,,7.0,0.0
504,,4,,,
505,,0,2.0,,
506,,5,,,
507,3.0,1,8.0,7.0,9.0
508,,0,2.0,,9.0
509,,10,10.0,,
510,,8,,5.0,
511,10.0,7,1.0,7.0,
512,2.0,1,,7.0,
513,,2,5.0,,
514,7.0,5,9.0,8.0,
515,7.0,8,7.0,3.0,0.0
516,0.0,6,2.0,,1.0
517,3.0,0,0.0,6.0,7.0
518,0.0,8,,,0.0
519,2.0,5,,,9.0
520,,0,6.0,,
521,5.0,8,4.0,,
522,,4,,6.0,
523,,10,,,
524,,4,2.0,,5.0
525,,5,7.0,0.0,10.0
526,1.0,5,7.0,5.0,9.0
527,10.0,6,10.0,2.0,
528,,0,10.0,7.0,4.0
529,9.0,4,,,
530,3.0,2,,8.0,
531,,2,1.0,5.0,
532,,3,,,3.0
533,6.0,4,,3.0,2.0
534,,6,,0.0,4.0
535,10.0,5,3.0,,8.0
536,9.0,6,,8.0,
537,9.0,7,5.0,3.0,9.0
538,,7,,3.0,10.0
539,,3,0.0,,0.0
540,,8,,8.0,2.0
541,,9,7.0,0.0,
542,6.0,5,4.0,,2.0
543,,5,8.0,,
544,,6,5.0,,
545,1.0,7,,4.0,2.0
546,4.0,2,,,6.0
547,6.0,2,,9.0,8.0
548,0.0,6,,,
549,6.0,9,,8.0,
550,,4,,4.0,5.0
551,,0,6.0,2.0,
552,9.0,3,2.0,,5.0
553,5.0,7,2.0,,
554,10.0,0,3.0,,
555,,7,,,6.0
556,,2,2.0,0.0,
557,5.0,9,,9.0,8.0
558,,6,,,
559,5.0,5,,,
560,,5,2.0,,8.0
561,,8,,,5.0
562,4.0,9,,,
563,3.0,6,,5.0,4.0
564,,5,6.0,,
565,,7,,,2.0
566,6.0,7,10.0,4.0,
567,2.0,0,3.0,,
568,,9,0.0,,
569,6.0,2,,10.0,3.0
570,7.0,6,1.0,5.0,
571,,10,,6.0,
572,,9,,8.0,10.0
573,,9,6.0,,6.0
574,1.0,6,1.0,3.0,5.0
575,,1,9.0,,
576,1.0,6,3.0,,3.0
577,8.0,0,,,
578,6.0,5,,,8.0
579,,1,,10.0,7.0
580,,0,,9.0,
581,3.0,7,10.0,10.0,2.0
582,,5,4.0,,10.0
583,,8,7.0,,
584,,5,7.0,,5.0
585,,5,1.0,,0.0
586,,2,,2.0,9.0
587,,1,4.0,,
588,1.0,4,,,
589,1.0,1,9.0,0.0,
590,,3,,,
591,10.0,3,2.0,1.0,9.0
592,,4,10.0,10.0,0.0
593,,4,,7.0,5.0
594,,9,6.0,3.0,8.0
595,,10,2.0,9.0,7.0
596,,2,,0.0,
597,9.0,2,9.0,0.0,10.0
598,3.0,10,,,
599,0.0,10,4.0,,
600,0.0,0,6.0,,
601,,3,,,0.0
602,6.0,8,0.0,,5.0
603,6.0,2,,,6.0
604,5.0,4,,1.0,1.0
605,,8,8.0,9.0,7.0
606,1.0,5,4.0,,
607,10.0,0,,,8.0
608,,5,,7.0,10.0
609,10.0,2,6.0,,
610,0.0,5,0.0,10.0,7.0
611,0.0,7,,,
612,4.0,0,,,1.0
613,4.0,4,7.0,,
614,2.0,8,5.0,,4.0
615,,9,2.0,0.0,
616,,2,,3.0,3.0
617,,0,5.0,9.0,
618,,8,,,
619,,6,,,
620,,4,1.0,7.0,
621,10.0,1,,6.0,
622,,6,2.0,,3.0
623,,1,,,6.0
624,8.0,8,,4.0,7.0
625,10.0,3,3.0,,5.0
626,,0,7.0,8.0,
627,3.0,10,,,
628,,9,3.0,,6.0
629,1.0,3,0.0,,
630,,4,8.0,7.0,
631,1.0,5,10.0,,4.0
632,,10,,,
633,,2,,5.0,4.0
634,8.0,5,7.0,4.0,9.0
635,2.0,0,,5.0,
636,4.0,10,2.0,7.0,4.0
637,3.0,6,4.0,,2.0
638,,7,8.0,,2.0
639,0.0,10,,,
640,,1,,7.0,0.0
641,,1,,,
642,,9,,,
643,,7,,6.0,0.0
644,9.0,10,,,1.0
645,,4,10.0,,
646,,5,,,
647,9.0,3,1.0,,
648,,9,,7.0,1.0
649,,4,10.0,,
650,,1,8.0,,0.0
651,,0,,,3.0
652,,6,7.0,,
653,,2,,,
654,3.0,8,,10.0,8.0
655,2.0,2,,,
656,9.0,9,10.0,,4.0
657,3.0,4,,3.0,
658,,8,3.0,,
659,,9,0.0,,10.0
660,4.0,8,9.0,,
661,10.0,6,,,
662,,5,3.0,4.0,10.0
663,3.0,4,1.0,3.0,1.0
664,,7,2.0,0.0,
665,,9,10.0,,
666,,1,,2.0,5.0
667,,0,4.0,9.0,1.0
668,,6,,,10.0
669,,0,,6.0,7.0
670,,8,10.0,3.0,
671,7.0,0,9.0,,
672,7.0,7,1.0,,
673,,10,,,
674,,6,,1.0,2.0
675,7.0,5,8.0,,7.0
676,2.0,9,,1.0,
677,,2,,5.0,
678,,10,0.0,3.0,1.0
679,6.0,4,9.0,1.0,8.0
680,10.0,1,,,7.0
681,0.0,4,7.0,9.0,10.0
682,,8,5.0,,2.0
683,7.0,7,1.0,,1.0
684,,3,0.0,,
685,3.0,2,3.0,,
686,9.0,2,4.0,,1.0
687,3.0,10,10.0,10.0,4.0
688,9.0,4,,,
689,5.0,9,5.0,,7.0
690,,8,,0.0,3.0
691,,4,,2.0,
692,,6,,0.0,
693,8.0,7,,5.0,9.0
694,,10,9.0,2.0,
695,3.0,9,,7.0,
696,7.0,3,8.0,6.0,
697,,1,6.0,3.0,
698,10.0,2,3.0,,
699,,9,10.0,6.0,9.0
700,,3,,2.0,4.0
701,,6,3.0,,5.0
702,9.0,10,,4.0,9.0
703,,0,10.0,,
704,,5,,4.0,
705,1.0,1,,,
706,4.0,5,,,2.0
707,,0,1.0,,0.0
708,,2,0.0,8.0,0.0
709,,4,,,
710,8.0,9,,,7.0
711,7.0,8,1.0,,
712,7.0,9,0.0,2.0,
713,10.0,6,10.0,4.0,
714,9.0,3,6.0,,
715,9.0,8,,,
716,,9,6.0,5.0,
717,,1,,,3.0
718,,8,2.0,9.0,
719,10.0,3,9.0,,
720,10.0,2,,3.0,
721,0.0,5,3.0,4.0,4.0
722,8.0,7,6.0,,
723,,7,,8.0,
724,,8,3.0,10.0,
725,6.0,8,,9.0,
726,,8,0.0,,
727,2.0,6,2.0,7.0,
728,3.0,1,5.0,9.0,
729,6.0,4,,9.0,
730,,0,1.0,,
731,,3,,,0.0
732,10.0,10,,,10.0
733,3.0,9,,3.0,
