0,1,2,3,4
,1,,,
2.0,3,,,2.0
,9,,,4.333333333333334
,10,,9.0,6.666666666666667
,3,,2.0,9.0
7.0,5,,0.0,1.0
2.0,5,10.0,,1.5
9.0,5,,5.0,2.0
,9,6.0,1.0,2.5
,2,,,3.0
8.0,8,,0.0,5.5
7.0,5,6.0,10.0,8.0
,9,9.0,,6.4
8.0,3,,0.0,4.8
8.0,9,4.0,,3.1999999999999993
,7,2.0,10.0,1.5999999999999996
8.0,10,10.0,3.0,0.0
4.0,6,,5.0,4.0
,5,1.0,,10.0
10.0,4,7.0,,9.666666666666666
,1,10.0,0.0,9.333333333333334
,2,,1.0,9.0
,1,,7.0,8.75
0.0,2,,10.0,8.5
0.0,3,10.0,,8.25
9.0,0,7.0,7.0,8.0
,0,1.0,,6.5
,8,7.0,3.0,5.0
6.0,3,,,2.5
,5,3.0,9.0,0.0
2.0,0,,8.0,2.6666666666666665
,8,,,5.333333333333333
,1,,0.0,8.0
8.0,4,5.0,6.0,5.0
9.0,4,,,4.5
10.0,9,1.0,3.0,4.0
6.0,1,3.0,4.0,8.0
9.0,2,,,6.0
1.0,10,,,4.0
,10,,,3.0
,2,3.0,,2.0
,2,,,1.0
4.0,6,,,2.666666666666667
,0,,3.0,4.333333333333334
8.0,8,,1.0,6.0
,2,,,0.0
,1,10.0,2.0,0.0
0.0,4,10.0,4.0,0.0
,10,4.0,2.0,0.16666666666666666
10.0,2,4.0,6.0,0.3333333333333333
6.0,5,1.0,,0.5
,9,5.0,5.0,0.6666666666666666
,4,5.0,3.0,0.8333333333333333
,6,5.0,,1.0
1.0,5,,,9.0
,6,,,9.5
7.0,8,,,10.0
6.0,2,4.0,,8.5
1.0,9,,,7.0
,4,,3.0,5.5
4.0,8,3.0,,4.0
0.0,4,8.0,9.0,2.5
,2,,10.0,1.0
,3,9.0,0.0,6.0
,10,,4.0,8.0
,1,1.0,,10.0
,5,10.0,,8.0
2.0,4,0.0,1.0,7.5
,1,10.0,,7.0
3.0,2,,,3.5
,6,9.0,,0.0
,5,,2.0,9.0
7.0,2,7.0,10.0,7.0
3.0,6,10.0,,5.0
,5,,0.0,4.0
,7,,,3.0
3.0,7,,8.0,2.0
,6,4.0,,1.0
,1,7.0,9.0,0.0
,8,,,10.0
,4,,,8.0
,9,,5.0,9.0
9.0,4,,8.0,9.0
4.0,3,10.0,4.0,9.0
0.0,3,4.0,10.0,9.0
9.0,10,,,6.0
9.0,9,,6.0,3.0
8.0,3,4.0,10.0,3.5
9.0,5,,,4.0
10.0,1,0.0,4.0,8.0
,1,,10.0,7.0
,4,7.0,,7.333333333333333
10.0,1,,,7.666666666666667
,7,,0.0,8.0
2.0,6,6.0,7.0,8.333333333333334
,9,,3.0,8.666666666666666
7.0,9,,9.0,9.0
,2,,1.0,8.0
0.0,10,,3.0,7.5
1.0,9,0.0,,7.0
,4,,,5.5
2.0,1,,8.0,4.0
,2,,7.0,10.0
4.0,4,,,8.8
0.0,9,,,7.6
,9,4.0,2.0,6.4
6.0,5,,1.0,5.2
,0,,3.0,4.0
4.0,10,3.0,,1.0
1.0,5,,,4.0
,3,3.0,7.0,7.0
,3,1.0,,5.666666666666667
8.0,2,4.0,10.0,4.333333333333334
2.0,5,9.0,6.0,3.0
4.0,3,5.0,2.0,3.0
5.0,2,,6.0,3.0
,1,,10.0,3.0
5.0,10,3.0,3.0,3.0
7.0,8,7.0,4.0,4.0
5.0,4,2.0,2.0,3.6
,1,0.0,,3.2
,0,2.0,5.0,2.8
8.0,2,,0.0,2.4
8.0,3,,9.0,2.0
3.0,8,,,3.0
5.0,3,,,3.0
,10,2.0,,3.0
,9,1.0,,6.0
,1,5.0,,4.75
,9,2.0,0.0,3.5
,9,7.0,6.0,2.25
,3,5.0,1.0,1.0
,2,2.0,10.0,4.0
,6,4.0,7.0,7.0
,1,,,5.333333333333333
,6,,,3.6666666666666665
,2,,3.0,2.0
1.0,1,,,3.0
7.0,2,,,1.0
0.0,5,,5.0,4.0
1.0,0,,6.0,7.0
,9,7.0,7.0,3.0
5.0,2,1.0,,2.5
3.0,2,1.0,,2.0
2.0,2,,1.0,1.5
10.0,3,5.0,7.0,1.0
,6,0.0,,3.6666666666666665
,4,4.0,1.0,6.333333333333333
8.0,9,8.0,5.0,9.0
2.0,9,9.0,5.0,7.75
1.0,9,0.0,1.0,6.5
6.0,2,9.0,6.0,5.25
,1,,3.0,4.0
,0,9.0,,3.0
10.0,6,,10.0,1.5
,9,,5.0,0.0
,1,9.0,,3.0
3.0,9,5.0,,4.0
10.0,4,,,5.0
0.0,6,,,4.0
2.0,10,0.0,,5.333333333333333
,4,0.0,,6.666666666666666
7.0,1,,,8.0
0.0,1,1.0,0.0,6.0
3.0,8,7.0,4.0,4.0
9.0,9,,2.0,2.0
,7,,6.0,4.5
0.0,10,10.0,4.0,7.0
4.0,9,,4.0,9.0
1.0,7,8.0,0.0,8.5
,8,,5.0,8.0
8.0,6,,1.0,8.0
4.0,3,,,6.75
6.0,4,5.0,6.0,5.5
,5,6.0,7.0,4.25
