,0,1,2,3,4,5,6
0,0,,7.0,6,4.0,,6
1,6,,8.0,2,,6.0,2
2,1,5.0,,5,,,1
3,9,1.0,,9,,,10
4,10,10.0,,8,3.0,,0
5,4,,,10,,10.0,8
6,2,,1.0,6,,,7
7,9,2.0,8.0,6,4.0,9.0,8
8,8,1.0,,3,,7.0,9
9,9,,9.0,4,,5.0,2
10,3,,3.0,5,1.0,,8
11,5,7.0,,4,4.0,,0
12,3,0.0,2.0,9,,,1
13,10,4.0,,9,9.0,,4
14,3,0.0,,9,2.0,5.0,1
15,0,,,3,2.0,,1
16,5,,3.0,8,,3.0,4
17,4,10.0,,2,1.0,2.0,5
18,6,9.0,,4,9.0,5.0,4
19,7,,,2,9.0,,6
20,3,,,8,5.0,5.0,6
21,9,,,6,,1.0,3
22,5,9.0,,7,,,2
23,8,0.0,,2,7.0,5.0,9
24,0,,,1,,4.0,2
25,9,9.0,,7,,,3
26,6,8.0,,7,10.0,9.0,6
27,5,,,5,0.0,0.0,7
28,4,2.0,6.0,10,0.0,,2
29,9,,,7,,,9
30,5,8.0,,1,8.0,,2
31,0,8.0,,2,5.0,8.0,9
32,10,,,1,10.0,,8
33,6,,,4,6.0,5.0,8
34,4,,,7,9.0,,2
35,3,,,5,0.0,4.0,4
36,9,,,7,4.0,0.0,1
37,3,,3.0,1,,0.0,5
38,7,1.0,4.0,6,,6.0,8
39,9,2.0,,5,6.0,6.0,1
40,1,3.0,2.0,2,5.0,5.0,6
41,10,2.0,,2,,9.0,5
42,4,9.0,1.0,1,,9.0,10
43,4,,2.0,7,5.0,6.0,5
44,5,,,5,,3.0,4
45,8,8.0,9.0,3,,,2
46,4,4.0,,1,,,6
47,7,,2.0,2,8.0,4.0,4
48,5,7.0,9.0,8,5.0,,0
49,8,3.0,10.0,2,5.0,6.0,2
50,10,,7.0,0,2.0,,6
51,2,1.0,10.0,10,4.0,,8
52,0,,,5,3.0,,4
53,1,,,9,,0.0,3
54,0,10.0,1.0,6,8.0,9.0,6
55,4,,,10,7.0,,2
56,7,,7.0,5,9.0,,4
57,1,8.0,0.0,7,5.0,,0
58,10,7.0,4.0,1,0.0,10.0,1
59,0,9.0,6.0,2,,,10
60,2,10.0,6.0,10,,,2
61,5,8.0,,4,7.0,5.0,2
62,3,,10.0,10,3.0,10.0,8
63,3,0.0,5.0,9,5.0,,10
64,7,,6.0,2,,,8
65,0,,,6,2.0,,8
66,3,,,8,3.0,,0
67,9,,,9,4.0,,10
68,2,,,9,,,9
69,5,,2.0,6,,4.0,8
70,7,,4.0,2,,,0
71,7,,,7,,,5
72,3,8.0,3.0,0,,,5
73,0,,9.0,6,,,1
74,9,,,4,4.0,9.0,4
75,9,,2.0,3,9.0,,5
76,0,5.0,,7,,9.0,6
77,10,,,6,,,7
78,1,1.0,10.0,4,5.0,,1
79,8,7.0,,2,,4.0,3
80,3,2.0,9.0,2,,1.0,4
81,8,9.0,9.0,7,,,8
82,8,,3.0,9,,,3
83,6,,,4,,,5
84,10,,5.0,9,1.0,6.0,9
85,8,,10.0,3,,,8
86,8,,,3,7.0,,4
87,10,7.0,,2,5.0,9.0,0
88,10,,3.0,8,,2.0,0
89,3,7.0,,10,,,7
90,9,7.0,3.0,1,1.0,,6
91,7,,,5,,,2
92,7,,8.0,8,1.0,4.0,4
93,10,,7.0,9,2.0,2.0,5
94,4,,,4,,,1
95,6,9.0,,6,3.0,,1
96,10,0.0,10.0,6,,9.0,5
97,6,1.0,9.0,6,8.0,9.0,9
98,3,1.0,,10,,,9
99,3,,5.0,10,,5.0,4
100,3,4.0,0.0,5,,,9
101,5,2.0,0.0,0,6.0,10.0,5
102,3,,,1,3.0,,3
103,9,0.0,,1,,,2
104,0,2.0,4.0,10,8.0,6.0,10
105,6,,10.0,2,10.0,,1
106,7,4.0,,2,,,1
107,1,10.0,,5,,1.0,9
108,5,2.0,,6,9.0,0.0,10
