,0,1,2,3,4,5,6,7,8
0,1,,,8,4,6,7.0,1,6
1,10,,4.0,2,9,0,,5,9
2,2,,,8,7,2,3.0,4,10
3,7,,8.0,2,8,7,,2,4
4,0,2.0,9.0,0,0,5,2.0,9,8
5,10,,,8,4,6,3.0,4,4
6,0,3.0,,4,0,9,,5,10
7,9,,,9,4,7,5.0,4,0
8,2,,,8,9,5,1.0,5,10
9,10,7.0,6.0,5,10,10,7.0,5,3
10,1,10.0,5.0,9,2,2,,7,7
11,7,,,0,4,1,,5,8
12,9,9.0,9.0,5,5,1,,8,9
13,8,2.0,1.0,5,7,9,0.0,8,5
14,9,,2.0,6,4,0,,10,1
15,9,,,10,3,6,1.0,10,3
16,9,,6.0,7,7,2,,6,8
17,5,,,7,1,3,10.0,3,1
18,6,1.0,5.0,8,10,5,6.0,1,1
19,7,6.0,,6,6,7,,9,9
20,3,5.0,9.0,3,4,8,,1,8
21,0,,,6,2,7,9.0,8,7
22,10,9.0,,8,10,5,,7,7
23,9,2.0,8.0,5,0,5,,1,8
24,10,,,10,3,0,,5,0
25,2,6.0,4.0,2,3,8,,7,2
26,3,3.0,,2,7,0,,2,10
27,5,,4.0,5,6,8,4.0,0,1
28,9,,,3,4,5,4.0,2,7
29,3,,0.0,2,0,8,,5,5
30,5,,,3,1,10,,3,3
31,6,,,3,9,9,,10,2
32,3,3.0,4.0,7,3,0,4.0,2,6
33,0,,,2,3,5,1.0,3,8
34,6,3.0,,0,6,2,,8,8
35,1,,,1,3,10,4.0,7,8
36,6,,,2,4,5,8.0,5,8
37,0,8.0,,3,8,6,,7,5
38,4,7.0,0.0,3,8,2,9.0,6,6
39,8,,9.0,5,3,2,,9,2
40,0,0.0,10.0,2,10,7,,1,6
41,7,,,6,8,3,1.0,5,8
42,9,8.0,,8,6,6,3.0,10,10
43,4,,,9,6,3,,0,6
44,9,,,10,6,10,,8,3
45,0,10.0,9.0,3,7,3,,1,4
46,2,,1.0,4,1,10,3.0,5,10
47,1,,6.0,4,7,2,5.0,6,3
48,0,7.0,,4,8,4,,1,7
49,2,,0.0,4,2,1,,0,4
50,1,3.0,6.0,10,8,0,,2,9
51,4,,,3,1,9,,4,8
52,9,,4.0,5,5,2,9.0,1,5
53,10,2.0,9.0,10,5,9,7.0,1,4
54,6,4.0,,4,5,3,,9,4
55,6,,,6,9,9,,8,5
56,2,,10.0,9,8,8,5.0,7,5
57,6,,3.0,7,4,7,5.0,5,4
58,3,,7.0,8,4,6,,3,3
59,9,7.0,,2,10,1,,7,0
60,6,,,8,10,9,7.0,4,2
61,9,,,6,8,1,0.0,3,0
62,8,5.0,1.0,9,3,2,4.0,4,0
63,0,7.0,8.0,6,9,8,0.0,1,0
64,2,9.0,,0,1,3,9.0,3,8
65,1,,6.0,10,4,1,,9,4
66,7,5.0,4.0,1,0,4,,6,4
67,2,,,0,2,2,2.0,4,6
68,2,0.0,,2,4,2,,8,1
69,5,,3.0,5,0,8,5.0,7,10
70,6,9.0,,1,0,10,7.0,4,3
71,2,,0.0,10,5,4,9.0,7,0
72,7,,6.0,2,0,8,9.0,4,8
73,8,7.0,,1,2,5,6.0,3,2
74,0,10.0,1.0,10,1,1,,3,9
75,10,,,7,9,10,,0,4
76,6,,1.0,4,6,5,,5,3
77,2,,,5,5,7,8.0,0,0
78,7,7.0,,7,3,8,,3,2
79,7,,,2,8,5,,9,5
80,4,6.0,2.0,4,6,4,5.0,2,2
81,3,0.0,,8,7,4,,8,7
82,8,0.0,,6,6,2,,7,2
83,10,,9.0,9,10,10,2.0,0,0
84,9,6.0,3.0,9,5,10,3.0,2,9
85,6,,0.0,1,5,9,,5,9
86,8,0.0,,10,1,8,,1,6
87,0,,5.0,4,10,9,,2,2
