0,1,2,3,4,5,6,7,8
1,,,8,4,6,7.0,1,6
10,,4.0,2,9,0,5.0,5,9
2,,6.0,8,7,2,3.0,4,10
7,,8.0,2,8,7,2.5,2,4
0,2.0,9.0,0,0,5,2.0,9,8
10,2.5,8.4,8,4,6,3.0,4,4
0,3.0,7.8,4,0,9,4.0,5,10
9,4.333333333333333,7.2,9,4,7,5.0,4,0
2,5.666666666666666,6.6,8,9,5,1.0,5,10
10,7.0,6.0,5,10,10,7.0,5,3
1,10.0,5.0,9,2,2,5.25,7,7
7,9.5,7.0,0,4,1,3.5,5,8
9,9.0,9.0,5,5,1,1.75,8,9
8,2.0,1.0,5,7,9,0.0,8,5
9,1.8,2.0,6,4,0,0.5,10,1
9,1.6,4.0,10,3,6,1.0,10,3
9,1.4,6.0,7,7,2,5.5,6,8
5,1.2,5.5,7,1,3,10.0,3,1
6,1.0,5.0,8,10,5,6.0,1,1
7,6.0,7.0,6,6,7,7.0,9,9
3,5.0,9.0,3,4,8,8.0,1,8
0,7.0,8.666666666666666,6,2,7,9.0,8,7
10,9.0,8.333333333333334,8,10,5,8.166666666666666,7,7
9,2.0,8.0,5,0,5,7.333333333333333,1,8
10,4.0,6.0,10,3,0,6.5,5,0
2,6.0,4.0,2,3,8,5.666666666666666,7,2
3,3.0,4.0,2,7,0,4.833333333333333,2,10
5,3.0,4.0,5,6,8,4.0,0,1
9,3.0,2.0,3,4,5,4.0,2,7
3,3.0,0.0,2,0,8,4.0,5,5
5,3.0,1.3333333333333333,3,1,10,4.0,3,3
6,3.0,2.6666666666666665,3,9,9,4.0,10,2
3,3.0,4.0,7,3,0,4.0,2,6
0,3.0,3.3333333333333335,2,3,5,1.0,3,8
6,3.0,2.666666666666667,0,6,2,2.5,8,8
1,4.666666666666667,2.0,1,3,10,4.0,7,8
6,6.333333333333334,1.3333333333333335,2,4,5,8.0,5,8
0,8.0,0.666666666666667,3,8,6,8.5,7,5
4,7.0,0.0,3,8,2,9.0,6,6
8,3.5,9.0,5,3,2,6.333333333333334,9,2
0,0.0,10.0,2,10,7,3.666666666666667,1,6
