0,1,2,3,4,5,6,7,8,9,10
,9,,6,2,2,10,4,0,7,10
,8,,6,8,1,5,2,10,10,5
8.0,6,5.0,10,10,1,10,7,9,3,5
,9,10.0,0,1,8,1,2,10,9,3
,5,8.0,8,6,0,7,7,8,0,1
8.0,10,6.0,5,3,2,4,2,1,5,1
9.0,0,5.5,7,1,3,6,7,8,3,9
5.0,8,5.0,0,3,9,7,10,10,6,0
,6,4.5,3,0,4,8,0,9,10,10
,6,4.0,8,3,3,9,10,6,7,2
,8,1.0,6,5,3,0,5,3,10,6
,7,7.0,6,10,9,5,8,0,5,4
10.0,8,7.25,4,10,9,7,2,3,3,3
3.0,2,7.5,0,7,0,7,7,6,10,0
,9,7.75,0,8,1,8,8,0,3,1
7.0,9,8.0,9,2,9,6,2,9,9,6
,4,6.0,0,9,7,8,5,10,0,2
6.0,1,4.0,10,9,0,3,6,0,10,10
,4,5.333333333333333,3,6,1,4,4,6,5,3
2.0,5,6.666666666666666,6,7,2,7,10,4,1,9
,4,8.0,8,2,8,4,5,9,0,4
,9,7.0,2,5,10,6,3,3,5,1
,4,6.0,5,6,7,7,5,5,7,9
,7,2.0,7,4,4,3,3,6,10,7
,4,1.5,1,8,3,10,6,2,3,4
6.0,1,1.0,10,9,9,4,7,3,5,6
,2,0.5,4,6,4,3,9,10,10,8
2.0,4,0.0,10,9,7,10,7,3,6,9
7.0,5,1.2,8,4,4,4,10,6,5,1
9.0,3,2.4,10,0,0,2,0,6,7,9
8.0,3,3.5999999999999996,2,9,2,4,4,0,6,2
1.0,7,4.8,10,3,4,4,5,2,4,9
5.0,2,6.0,1,1,9,8,3,6,9,4
5.0,7,3.5,3,0,8,8,4,3,7,5
2.0,10,1.0,6,4,1,4,9,0,4,5
,4,1.0,7,6,4,7,2,5,6,9
,6,1.0,4,4,3,8,5,7,0,4
,6,1.0,3,10,9,2,10,8,9,8
,2,1.25,1,7,9,1,0,3,5,9
,9,1.5,8,6,5,2,1,10,0,2
3.0,1,1.75,3,9,5,7,0,10,4,5
,5,2.0,4,10,9,8,0,4,1,1
,8,10.0,6,9,5,3,1,8,9,3
8.0,9,9.0,9,7,5,2,9,3,9,4
6.0,4,8.0,8,7,9,9,10,10,1,1
,3,8.0,0,8,9,3,8,8,4,3
6.0,9,0.0,6,5,1,2,5,4,3,9
,2,2.0,2,6,7,1,6,2,10,10
1.0,10,4.0,2,0,9,8,5,10,5,1
8.0,3,1.0,7,5,4,6,4,7,8,10
,9,9.0,9,1,7,1,10,10,9,4
