,0,1,2,3,4,5,6,7,8,9,10,11
0,7,6.0,0.0,3,8.0,,,7,2.0,3,,
1,2,3.0,,3,0.0,1.0,1.0,5,1.0,9,4.0,8.0
2,2,,,10,,,,2,,4,0.0,
3,1,,6.0,10,,7.0,2.0,7,3.0,6,6.0,2.0
4,2,,,7,7.0,3.0,,8,,0,,
5,6,,0.0,9,1.0,,4.0,5,7.0,3,,
6,5,,,1,9.0,,3.0,4,1.0,6,9.0,
7,9,,3.0,4,0.0,,,2,7.0,3,8.0,7.0
8,8,,6.0,7,,2.0,,7,,4,0.0,3.0
9,6,,6.0,7,5.0,2.0,6.0,4,6.0,0,,
10,0,3.0,10.0,0,,1.0,5.0,4,,4,,8.0
11,9,,9.0,8,,,2.0,5,,7,,
12,4,7.0,,1,4.0,,4.0,0,,4,2.0,
13,3,,,10,7.0,6.0,,1,,6,0.0,4.0
14,0,9.0,,6,7.0,4.0,5.0,4,9.0,3,10.0,
15,8,10.0,,9,9.0,,,8,0.0,2,4.0,
16,3,,9.0,5,,,,3,,1,,
17,7,,2.0,3,4.0,0.0,,7,,2,,2.0
18,8,,,6,2.0,3.0,7.0,1,,0,,
19,8,0.0,10.0,0,,10.0,1.0,4,7.0,4,2.0,
20,9,,,0,10.0,,,8,,6,5.0,
21,6,,2.0,8,,1.0,,9,4.0,2,,9.0
22,8,7.0,,3,6.0,2.0,6.0,6,,9,2.0,
23,3,,5.0,4,4.0,2.0,2.0,0,7.0,1,,8.0
24,6,0.0,,4,,1.0,,1,,4,3.0,
25,8,,,3,4.0,2.0,,2,,6,10.0,2.0
26,7,5.0,,2,9.0,,9.0,3,5.0,8,,
27,3,7.0,5.0,10,,2.0,,10,,7,3.0,5.0
28,6,6.0,8.0,7,2.0,6.0,8.0,9,4.0,10,5.0,
29,1,8.0,10.0,5,,,,7,,9,,
30,5,,,3,2.0,7.0,,6,4.0,10,,
31,2,1.0,,10,6.0,1.0,4.0,8,,8,,
32,1,,,9,,,,8,,2,7.0,
33,8,2.0,,9,,6.0,,6,5.0,2,,5.0
34,0,4.0,,5,,,10.0,2,,0,,
35,4,,,8,8.0,3.0,,5,6.0,3,4.0,9.0
36,0,1.0,7.0,10,6.0,,,9,9.0,3,8.0,
37,2,4.0,4.0,4,4.0,4.0,0.0,1,8.0,4,,0.0
38,4,,,9,4.0,1.0,6.0,1,5.0,6,7.0,7.0
39,3,4.0,,10,1.0,4.0,10.0,5,10.0,5,,
