,0,1,2,3,4,5,6,7,8,9,10,11
0,3,1,3,5,0,4,5,2,8,6,4,3
1,3,3,1,10,2,8,5,3,7,1,1,4
2,3,10,10,9,4,1,2,8,0,5,7,1
3,4,4,3,2,8,5,3,5,0,7,0,7
4,3,1,6,8,4,5,8,6,3,10,5,8
5,1,4,5,2,9,8,9,5,0,5,6,9
6,4,10,9,1,1,6,4,9,8,9,3,7
7,7,5,4,10,4,8,3,3,5,8,4,10
8,1,10,2,2,1,1,3,6,2,5,8,10
9,5,3,3,6,10,4,1,4,5,0,9,9
10,1,4,10,8,7,2,2,2,10,8,9,0
11,9,4,8,3,9,0,8,6,7,1,5,5
12,3,10,2,1,7,2,2,10,5,1,2,0
13,6,1,1,6,2,10,8,2,3,0,9,7
14,8,3,1,6,2,10,7,2,1,7,7,9
15,7,3,5,4,8,2,1,5,10,7,3,6
16,4,6,8,4,3,3,1,0,3,8,8,1
17,1,3,2,10,2,3,1,7,6,8,7,2
18,3,3,2,9,10,4,3,0,5,9,8,6
19,6,8,2,5,10,8,1,6,0,10,5,9
20,1,2,2,10,7,0,5,7,0,9,8,7
21,3,0,8,7,3,7,10,9,3,8,9,2
22,4,10,6,2,9,2,2,2,5,2,9,10
23,9,9,4,10,0,8,3,5,8,10,7,6
24,2,2,10,0,9,7,0,3,2,4,10,10
25,4,8,2,4,10,2,1,9,0,10,2,7
26,5,2,10,10,6,6,10,2,6,5,8,5
27,3,9,10,9,4,8,5,7,5,9,7,1
28,8,4,4,1,4,6,8,7,6,4,6,5
29,9,0,4,0,5,2,10,10,6,5,0,6
30,10,6,10,6,9,6,2,4,2,4,0,5
31,4,4,4,3,0,3,9,0,7,0,6,6
32,0,9,5,0,1,1,2,6,8,7,1,4
33,10,8,2,9,4,3,10,0,4,6,4,8
34,5,9,10,8,3,8,10,9,9,5,9,4
35,6,2,6,8,6,7,6,9,8,7,8,2
36,6,3,2,1,8,0,10,1,0,1,7,2
37,3,9,1,0,8,1,10,4,6,5,6,4
38,5,1,2,5,4,0,2,4,9,2,9,3
39,9,6,10,8,2,4,7,7,1,5,5,2
40,3,0,5,1,3,9,3,10,0,5,10,3
41,3,4,1,7,0,2,9,7,0,2,5,9
42,3,8,8,10,2,4,8,3,2,4,8,5
43,8,6,7,3,5,10,5,8,10,7,1,9
44,2,10,10,2,2,7,3,10,8,2,3,3
45,1,0,6,5,5,1,0,10,3,9,10,2
46,1,0,5,8,5,4,8,2,7,5,7,1
47,10,8,6,10,9,3,9,0,7,10,6,9
48,3,8,2,0,10,4,5,1,0,8,8,0
49,10,1,3,2,10,2,8,2,8,5,6,3
50,0,5,5,8,9,4,1,4,0,10,5,9
51,10,1,8,5,10,6,2,7,0,6,2,2
52,6,6,1,7,4,0,4,6,5,8,6,0
53,2,10,1,6,7,9,10,9,5,10,6,0
54,5,9,8,7,3,7,4,7,4,3,5,4
55,1,0,8,8,6,6,1,5,1,1,0,4
56,9,3,2,1,5,8,8,7,6,0,3,3
57,8,7,3,1,4,5,7,6,7,1,8,10
58,10,4,10,5,5,4,3,3,1,0,10,2
59,5,9,2,3,4,8,6,1,2,3,2,6
60,9,3,9,4,1,6,3,0,6,8,10,4
61,9,0,6,1,2,6,1,9,6,0,3,7
62,3,2,5,0,5,6,7,1,8,0,5,4
63,1,9,6,3,8,3,3,2,6,9,9,10
64,9,9,6,6,8,4,4,4,2,8,0,7
65,7,0,9,3,6,6,6,1,6,4,4,5
66,10,5,2,3,10,5,0,4,2,9,2,5
67,10,2,9,5,0,10,9,7,1,3,9,5
68,6,3,10,10,8,0,7,9,8,5,2,2
69,6,3,9,1,2,9,10,1,10,3,1,2
70,3,9,9,4,5,2,9,3,7,7,1,7
71,5,4,2,10,5,6,6,2,3,0,8,3
72,5,7,5,9,1,6,0,3,7,7,7,6
73,9,3,7,4,7,2,10,2,6,5,9,0
