0,1,2,3,4,5,6,7,8,9,10,11
7,6.0,0.0,3,8.0,,,7,2.0,3,,
2,3.0,2.0,3,0.0,1.0,1.0,5,1.0,9,4.0,8.0
2,3.0,4.0,10,2.3333333333333335,4.0,1.5,2,2.0,4,0.0,5.0
1,3.0,6.0,10,4.666666666666667,7.0,2.0,7,3.0,6,6.0,2.0
2,3.0,3.0,7,7.0,3.0,3.0,8,5.0,0,7.0,3.25
6,3.0,0.0,9,1.0,2.75,4.0,5,7.0,3,8.0,4.5
5,3.0,1.5,1,9.0,2.5,3.0,4,1.0,6,9.0,5.75
9,3.0,3.0,4,0.0,2.25,4.0,2,7.0,3,8.0,7.0
8,3.0,6.0,7,2.5,2.0,5.0,7,6.5,4,0.0,3.0
6,3.0,6.0,7,5.0,2.0,6.0,4,6.0,0,0.5,5.5
0,3.0,10.0,0,4.666666666666667,1.0,5.0,4,6.6,4,1.0,8.0
9,5.0,9.0,8,4.333333333333333,2.666666666666667,2.0,5,7.2,7,1.5,6.666666666666667
4,7.0,9.0,1,4.0,4.333333333333334,4.0,0,7.8,4,2.0,5.333333333333334
3,8.0,9.0,10,7.0,6.0,4.5,1,8.4,6,0.0,4.0
0,9.0,9.0,6,7.0,4.0,5.0,4,9.0,3,10.0,3.5
8,10.0,9.0,9,9.0,2.666666666666667,5.5,8,0.0,2,4.0,3.0
3,7.5,9.0,5,6.5,1.3333333333333335,6.0,3,1.75,1,3.5,2.5
7,5.0,2.0,3,4.0,0.0,6.5,7,3.5,2,3.0,2.0
8,2.5,6.0,6,2.0,3.0,7.0,1,5.25,0,2.5,3.75
8,0.0,10.0,0,6.0,10.0,1.0,4,7.0,4,2.0,5.5
9,2.3333333333333335,6.0,0,10.0,5.5,2.666666666666667,8,5.5,6,5.0,7.25
6,4.666666666666667,2.0,8,8.0,1.0,4.333333333333334,9,4.0,2,3.5,9.0
8,7.0,3.5,3,6.0,2.0,6.0,6,5.5,9,2.0,8.5
