,0,1,2,3,4
0,8,10,4,6,1
1,2,1,5,3,9
2,0,10,5,9,5
3,0,9,1,10,9
4,2,3,0,8,4
5,5,0,0,5,1
6,1,8,4,8,7
7,2,3,8,0,10
8,8,6,2,2,2
9,9,9,7,8,1
10,6,4,5,1,9
11,2,5,5,6,8
12,3,3,6,7,1
13,7,1,7,8,9
14,2,5,6,6,4
15,6,3,2,7,0
16,8,2,5,8,8
17,0,7,1,9,4
18,7,9,0,0,10
19,6,10,10,6,2
20,2,1,7,3,2
21,2,2,1,1,2
22,9,4,2,9,0
23,7,8,6,10,4
24,1,2,2,2,7
25,4,7,3,9,0
26,5,9,7,10,2
27,0,1,8,1,5
28,3,6,1,10,5
29,3,10,4,0,4
30,1,4,4,4,4
31,4,3,2,6,1
32,3,1,0,0,3
33,7,4,10,0,5
34,6,9,10,5,8
35,2,9,6,10,3
36,4,2,4,2,7
37,9,8,9,0,9
38,9,0,1,10,5
39,5,10,7,0,5
40,6,6,6,8,3
41,4,6,3,4,3
42,6,8,7,1,0
43,4,9,1,7,8
44,8,0,3,1,10
45,10,9,10,10,7
46,3,0,4,9,5
47,4,8,6,10,10
48,6,9,3,3,5
49,4,7,8,7,2
50,4,3,10,5,5
51,8,9,8,2,5
52,4,2,8,8,1
53,8,1,5,4,6
54,0,6,0,6,10
55,9,5,9,5,0
56,0,7,9,7,1
57,2,10,8,3,2
58,2,2,9,7,6
59,5,0,4,5,9
60,10,1,8,8,4
61,2,4,0,9,8
62,2,8,9,4,6
63,1,5,8,2,7
64,2,7,0,7,8
65,4,2,5,3,4
66,0,8,1,1,3
67,5,5,8,6,0
68,3,1,5,0,6
69,10,10,3,4,2
70,0,6,6,7,7
71,9,0,7,6,7
72,6,3,6,7,8
73,3,0,0,0,10
74,6,4,6,8,3
75,7,9,4,5,8
76,5,9,2,10,3
77,8,5,10,8,10
78,0,3,6,7,10
79,1,4,8,3,2
80,2,5,4,6,5
81,8,7,0,9,1
82,7,2,4,0,1
83,0,0,7,1,4
84,10,3,6,9,3
85,6,2,7,5,9
86,9,4,7,6,5
87,5,6,1,2,8
88,2,0,6,2,10
89,7,6,9,4,1
90,4,7,4,6,5
91,10,4,0,10,5
92,1,9,9,3,3
93,10,4,9,9,10
94,5,4,6,7,1
95,3,5,0,7,1
96,8,10,4,4,0
97,5,0,3,10,9
98,8,10,6,7,5
99,10,3,7,3,0
100,0,10,3,2,7
101,9,5,8,0,9
102,10,6,6,9,6
103,3,10,3,5,0
104,6,6,1,9,9
105,6,10,9,10,5
106,6,2,3,7,3
107,4,2,0,2,3
108,0,0,0,2,1
109,9,5,8,0,1
110,5,7,4,10,10
111,2,3,6,6,0
112,3,2,9,4,5
113,6,3,9,1,7
114,0,0,7,2,2
115,10,6,3,4,6
116,7,8,4,10,8
117,2,2,5,7,5
118,6,9,10,2,3
119,9,8,6,6,3
120,6,0,3,10,1
121,9,2,1,0,10
122,4,1,2,4,7
123,10,4,6,0,10
124,1,1,4,0,10
125,0,0,1,2,5
126,10,0,4,1,1
127,8,8,1,7,9
128,9,8,4,2,6
129,4,5,2,1,7
130,8,0,5,5,4
131,3,6,9,2,5
132,6,5,6,1,4
133,6,8,10,1,1
134,7,9,8,8,6
135,1,9,9,9,0
136,9,6,3,0,7
137,0,5,7,5,10
138,1,4,7,5,0
139,3,0,10,8,7
140,9,4,1,1,1
141,9,7,0,4,4
142,6,3,0,8,5
143,1,3,7,2,10
144,3,8,8,0,4
145,0,5,1,5,10
146,0,1,10,2,9
147,6,10,6,7,7
148,0,5,1,8,6
149,9,0,6,1,7
