,0,1,2,3,4,5,6,7,8,9
0,6,6,7,8,5,5,7,7,3,2
1,2,0,1,7,9,9,8,3,5,6
2,4,5,3,6,1,0,1,9,9,5
3,3,9,4,6,9,4,7,3,0,4
4,1,2,8,6,2,5,10,9,8,6
5,2,5,8,4,7,7,3,4,9,5
6,9,7,10,4,2,9,4,8,0,4
7,1,1,0,7,2,9,10,5,3,2
8,8,10,2,8,6,5,6,4,9,6
9,1,6,1,0,0,10,6,3,9,8
10,2,5,2,0,1,4,6,9,7,2
11,10,1,10,5,10,8,0,1,1,2
12,3,0,9,0,8,9,6,1,2,5
13,9,3,5,10,8,0,2,2,4,3
14,9,3,7,2,7,3,9,9,9,3
15,2,8,2,1,4,6,0,3,0,3
16,0,9,6,0,5,5,6,0,8,7
17,0,1,7,8,4,4,9,0,6,2
18,10,0,9,6,1,2,6,6,10,8
19,1,4,1,6,0,0,1,2,5,4
20,10,8,10,4,4,5,2,4,3,1
21,0,1,10,5,8,6,9,1,1,7
22,9,7,1,7,0,0,10,5,10,8
23,0,10,8,4,2,7,5,1,6,1
24,0,5,3,1,5,4,6,0,8,0
25,8,0,8,0,4,9,2,4,2,10
26,3,7,4,0,1,10,8,4,2,9
27,7,4,7,3,6,6,4,0,2,8
28,10,7,3,7,3,2,4,2,1,5
29,0,2,2,3,9,1,6,7,0,2
30,9,5,0,8,9,1,0,1,1,7
31,9,7,4,0,7,3,0,8,5,2
32,5,1,4,10,5,5,1,10,0,10
33,3,8,1,7,4,9,9,3,10,8
34,0,0,9,9,1,2,3,9,10,3
35,4,3,1,8,9,7,6,2,10,10
36,10,8,10,8,3,0,8,9,5,0
37,9,1,6,1,3,10,9,4,0,2
38,7,8,4,8,10,10,7,10,2,0
39,9,9,1,0,0,2,4,9,6,1
40,8,3,4,0,6,8,9,3,7,5
41,4,1,5,5,3,0,6,1,1,8
42,7,2,7,4,4,5,5,5,4,6
43,1,9,9,9,5,1,4,6,8,8
44,1,7,1,1,10,1,1,9,10,7
45,7,0,3,8,10,0,8,7,9,8
46,8,4,8,10,0,5,10,10,9,1
47,2,0,8,7,2,5,3,6,3,9
48,4,1,0,9,10,3,6,9,6,9
49,6,5,7,7,9,1,3,8,8,5
50,3,3,5,9,6,6,1,5,6,9
51,6,5,1,4,0,6,10,4,0,6
52,0,7,3,6,8,10,8,3,5,8
53,0,10,7,7,5,7,9,8,3,10
54,10,3,4,6,3,2,6,10,4,6
55,10,9,10,0,8,1,5,1,9,10
56,6,7,0,2,4,10,10,2,0,3
57,8,10,3,3,8,2,9,9,9,6
58,2,7,0,3,7,7,2,10,6,3
59,1,1,5,8,4,4,1,2,4,5
60,2,3,1,1,10,4,0,5,8,10
61,6,0,2,5,4,8,1,2,0,3
62,9,6,3,4,4,3,2,5,4,2
63,0,8,10,10,9,3,2,2,8,5
64,4,6,9,6,3,3,4,3,6,5
65,8,9,4,4,5,3,6,1,3,3
66,9,5,5,6,3,2,0,5,4,3
67,9,7,7,6,1,8,0,10,5,7
68,10,8,8,0,5,3,5,2,7,2
69,10,0,1,2,10,9,1,10,4,7
70,2,2,4,7,9,7,3,3,8,10
71,9,8,7,1,7,7,5,1,9,3
72,6,6,4,1,5,9,7,0,10,8
73,1,4,8,1,3,3,9,3,5,2
74,2,6,6,0,4,3,5,6,10,4
75,7,6,1,9,0,3,5,1,10,1
76,8,3,7,10,5,10,7,3,10,8
77,10,6,4,10,5,5,7,7,7,3
78,8,4,8,6,7,3,8,8,5,9
79,0,1,8,5,8,0,5,1,0,10
80,8,9,7,3,8,3,9,10,0,8
81,10,10,5,7,10,10,1,8,9,9
