,0,1,2,3,4,5,6,7,8,9,10
0,3,0,8,0,7,2,8,8,3,10,7
1,2,6,1,4,0,0,9,7,6,9,7
2,4,8,4,10,0,9,4,3,8,4,1
3,1,0,7,3,9,0,10,7,5,9,9
4,4,1,9,10,0,6,0,3,1,6,10
5,8,9,9,8,7,1,9,4,1,4,2
6,7,1,6,10,10,7,8,3,4,3,4
7,8,0,3,5,10,9,7,2,1,2,8
8,1,1,1,2,6,5,5,1,5,2,10
9,7,1,8,3,9,2,6,10,8,7,1
10,9,9,1,10,9,4,10,6,5,3,10
11,9,8,7,4,1,10,4,2,7,0,3
12,8,0,10,7,1,8,6,3,2,4,5
13,7,9,8,3,8,2,2,7,6,4,6
14,2,3,3,0,8,1,2,4,1,0,1
15,3,8,5,4,3,2,2,7,3,5,9
16,2,4,3,10,8,4,5,6,9,8,0
17,2,1,7,2,3,10,3,8,6,7,9
18,0,2,0,8,5,7,0,9,0,0,3
19,2,7,10,8,3,2,10,4,4,0,8
20,7,9,5,7,0,6,6,1,3,0,8
21,1,10,10,4,10,7,2,5,6,4,9
22,8,1,4,4,2,5,9,3,8,0,7
23,1,8,8,0,5,3,1,0,8,0,4
24,9,6,7,1,4,10,10,7,0,3,5
25,9,4,5,6,5,8,0,8,6,4,5
26,4,5,0,10,9,10,6,7,5,2,9
27,4,3,0,10,8,10,8,0,2,6,1
28,10,6,7,2,6,6,0,0,1,2,8
29,6,9,2,4,8,9,3,0,2,0,3
30,5,5,5,0,0,6,7,4,3,4,1
31,7,1,3,6,3,8,3,1,3,5,4
32,9,8,1,5,8,0,1,6,1,4,8
33,7,0,2,2,2,1,1,2,2,10,3
34,0,7,3,8,1,0,0,5,2,8,8
35,0,6,5,7,0,3,0,0,9,2,6
36,6,10,9,3,9,8,10,4,10,0,0
37,2,5,1,9,2,2,8,6,7,2,2
38,5,6,10,0,7,2,10,3,1,1,5
39,1,8,0,8,8,2,10,1,7,4,5
40,0,4,1,6,8,3,1,7,7,10,6
41,7,6,4,2,7,1,2,0,2,1,3
42,4,6,8,5,0,5,3,1,4,6,8
43,10,10,7,6,9,0,7,5,4,6,3
44,4,6,1,1,1,7,3,5,4,8,2
45,5,7,7,4,7,2,6,5,10,0,3
46,2,2,2,5,9,4,2,0,2,8,8
47,10,10,3,9,9,5,5,0,9,8,0
48,8,9,1,6,2,6,6,6,6,5,7
49,2,0,5,4,4,2,7,4,9,10,4
50,1,2,1,7,5,8,3,6,3,5,7
51,9,1,9,9,4,2,2,2,0,10,2
52,7,4,3,10,8,5,2,7,5,9,4
53,0,0,6,1,0,2,3,2,8,7,3
54,10,2,7,2,6,9,8,10,6,6,4
55,8,7,9,10,3,7,2,5,10,0,3
56,4,5,0,3,7,10,3,6,2,9,7
57,9,3,8,4,1,4,9,1,5,8,6
58,7,2,10,6,9,6,6,5,5,1,9
59,4,9,10,9,3,1,2,6,9,2,9
60,9,9,6,0,1,3,6,8,4,2,8
61,6,5,5,0,10,10,1,10,0,8,6
62,7,8,3,3,1,5,9,1,3,3,10
63,2,8,1,0,8,8,1,9,0,7,9
64,5,0,3,0,3,1,6,5,6,8,8
65,9,9,1,1,3,6,8,8,1,6,8
66,2,8,7,0,3,6,3,5,10,0,5
67,5,7,4,9,4,3,3,4,7,4,5
68,10,9,7,8,3,10,10,5,1,1,3
69,7,9,5,9,3,4,8,1,2,6,6
70,9,5,10,0,0,1,8,1,4,8,5
71,8,4,0,8,5,2,4,7,6,6,5
72,4,0,7,0,8,9,5,10,1,10,5
73,5,6,5,4,2,2,4,0,1,4,0
74,5,1,1,1,4,0,10,4,4,5,4
75,0,6,0,0,9,4,2,8,6,10,7
76,5,7,10,8,0,5,7,2,10,2,5
77,10,1,5,10,7,4,7,2,1,4,8
78,3,2,3,6,3,5,5,0,6,3,9
79,0,6,9,4,7,1,0,9,8,5,5
80,9,2,10,7,10,10,10,8,10,6,2
81,6,1,3,4,1,1,10,4,9,6,10
82,10,5,4,2,5,7,6,9,3,5,3
83,4,9,1,6,4,3,10,7,1,5,7
84,9,1,5,2,1,5,6,1,1,6,1
85,3,8,2,0,2,6,5,3,6,8,6
86,6,5,4,1,2,7,0,2,8,1,5
87,8,5,1,0,2,9,2,2,0,4,9
88,10,6,8,4,6,8,4,4,3,2,8
89,9,10,10,9,0,7,0,2,0,6,4
90,9,1,4,5,10,8,2,10,5,2,2
91,8,4,1,4,7,0,3,0,8,3,3
92,9,8,2,5,1,4,0,0,4,4,2
93,8,2,10,6,7,1,6,0,3,0,5
94,4,6,2,0,4,7,8,3,2,1,8
95,0,0,5,0,8,7,10,3,0,8,2
96,6,7,9,7,4,9,2,1,8,9,2
97,10,10,5,10,6,10,0,2,4,3,10
98,2,2,1,1,6,10,4,4,0,0,7
99,9,3,0,2,3,0,8,9,5,7,5
100,5,8,4,2,5,8,7,9,4,6,10
101,3,3,6,3,5,9,0,10,0,9,7
102,0,7,0,4,10,1,8,8,8,2,2
103,1,8,1,2,0,6,0,8,3,10,7
104,4,0,2,6,2,9,0,3,4,10,10
105,2,10,6,3,0,0,4,7,0,9,3
106,8,0,10,6,7,4,2,9,10,6,2
107,7,8,10,3,9,6,5,3,5,10,3
108,6,6,2,0,10,6,0,10,5,4,7
109,6,3,0,6,2,3,1,3,9,5,7
110,6,8,3,5,8,3,4,0,8,4,6
111,6,4,9,7,5,0,6,2,10,4,5
112,9,9,8,3,3,2,5,2,6,2,1
113,7,1,7,1,10,0,2,5,3,1,1
114,4,7,0,7,1,9,6,6,0,4,8
115,8,6,1,9,2,4,3,9,0,10,0
116,1,0,10,5,9,9,3,0,7,10,10
117,6,3,2,4,9,5,6,5,5,0,4
118,3,4,3,1,9,6,10,6,2,3,6
119,2,6,9,9,1,3,3,5,8,10,6
120,7,1,7,7,2,1,10,5,5,8,9
121,5,1,4,6,0,8,5,3,10,4,9
122,7,3,8,7,6,0,7,3,7,9,4
123,7,0,0,9,0,3,4,2,7,9,6
124,8,3,7,4,1,3,1,1,0,9,8
125,6,5,0,3,6,4,0,7,9,10,4
126,6,3,10,2,3,1,5,8,3,5,4
127,7,8,7,9,2,10,7,10,7,10,1
128,7,9,9,7,9,0,3,5,0,2,5
129,8,9,10,7,0,1,6,1,4,0,1
130,1,9,6,1,0,10,7,0,10,0,4
131,2,3,3,3,3,7,0,2,9,0,7
132,3,10,7,5,4,3,2,4,8,10,7
133,5,1,8,3,5,4,8,5,10,0,9
134,3,0,5,3,9,6,4,10,4,10,6
135,2,10,4,9,2,4,1,5,3,0,7
136,6,4,7,5,6,9,10,9,7,7,10
137,1,9,5,9,10,3,1,9,5,10,0
138,4,7,9,8,3,9,5,1,3,7,5
139,9,1,7,5,5,4,4,2,6,9,1
140,1,1,1,4,1,8,6,8,9,4,9
141,10,7,7,7,0,8,8,8,7,4,2
142,8,9,1,4,5,9,9,1,6,7,9
143,10,2,5,6,6,8,0,10,7,10,1
144,8,7,9,5,7,7,2,5,5,0,4
145,10,5,4,0,9,0,0,3,2,1,4
146,4,10,10,5,8,7,8,8,0,8,7
147,7,7,10,4,9,9,8,10,9,2,7
148,3,1,7,8,7,3,2,5,2,1,1
