0,1,2,3,4,5,6,7,8,9,10,11
,,1.0,6.0,7.0,1.0,9.0,,10.0,,,2.0
3.0,,1.0,5.0,,10.0,3.0,,5.5,,,9.0
,9.0,0.0,,,,,0.0,1.0,,,10.0
,,4.0,9.0,6.0,9.0,,,2.0,1.0,,2.0
,,,,,6.0,,,4.5,10.0,,6.0
,6.0,,,4.0,,,,7.0,,,6.0
4.0,4.0,5.0,5.0,,1.0,,10.0,0.0,2.0,0.0,8.0
4.0,5.0,0.0,4.0,,,,,9.0,1.0,,3.0
6.0,8.0,,7.0,,3.0,5.0,4.0,6.0,,,
,,4.0,1.0,,0.0,0.0,,3.0,,,
1.0,5.0,,10.0,,,1.0,,0.0,,,
4.0,,4.0,0.0,10.0,,1.0,2.0,4.0,,,
,6.0,7.0,2.0,9.0,4.0,,6.0,8.0,4.0,9.0,
9.0,,1.0,,0.0,,,8.0,2.0,,6.0,9.0
,0.0,,,,2.0,,5.0,9.0,5.0,9.0,5.0
,8.0,,4.0,5.0,2.0,0.0,3.0,8.0,,,
8.0,2.0,,,5.0,,7.0,0.0,7.5,10.0,,2.0
,0.0,,7.0,,,,,7.0,5.0,4.0,9.0
,3.0,9.0,,,4.0,3.0,0.0,7.25,,,6.0
,3.0,8.0,,,6.0,,,7.5,,,
5.0,,2.0,,,2.0,8.0,7.0,7.75,,3.0,
,,,5.0,8.0,,,4.0,8.0,5.0,1.0,0.0
,,5.0,8.0,,,,,6.0,2.0,8.0,
7.0,0.0,,,,,,,6.571428571428571,,5.0,
5.0,2.0,,1.0,1.0,,0.0,0.0,7.142857142857142,5.0,,2.0
7.0,2.0,4.0,2.0,5.0,,,,7.714285714285714,0.0,,9.0
6.0,,,2.0,,,,3.0,8.285714285714285,10.0,,
,2.0,4.0,7.0,5.0,5.0,,,8.857142857142858,,10.0,2.0
3.0,,,,,,,,9.428571428571429,,10.0,8.0
,,,,1.0,6.0,,0.0,10.0,,,8.0
,,,2.0,1.0,,1.0,,9.0,,0.0,5.0
,,,,1.0,,,,6.5,4.0,,
4.0,6.0,1.0,1.0,2.0,,7.0,5.0,4.0,9.0,0.0,
,8.0,5.0,5.0,3.0,,2.0,,5.5,,,
,3.0,,9.0,,,6.0,,7.0,8.0,,2.0
,6.0,,,,0.0,4.0,10.0,10.0,9.0,9.0,
3.0,,4.0,6.0,4.0,,,1.0,0.0,,,3.0
6.0,6.0,,,2.0,5.0,2.0,10.0,7.0,8.0,,
,9.0,2.0,5.0,8.0,3.0,3.0,,6.0,,10.0,
8.0,,4.0,,,2.0,,,5.0,9.0,,
,,9.0,8.0,2.0,2.0,7.0,,3.0,,5.0,
8.0,3.0,,,7.0,2.0,,5.0,4.0,7.0,0.0,
,,3.0,10.0,,,,1.0,5.0,,,
,,,,,4.0,,,6.0,,,7.0
,,3.0,,,,1.0,10.0,7.0,,4.0,1.0
,5.0,,,,0.0,2.0,,8.0,,,5.0
,,,0.0,,9.0,7.0,8.0,9.0,1.0,4.0,5.0
8.0,,1.0,3.0,,,,3.0,8.0,,4.0,
,,7.0,,9.0,8.0,,,8.0,,,9.0
,5.0,,,,0.0,,,8.0,,,
,4.0,8.0,,4.0,9.0,3.0,,8.0,1.0,,
,,,,,9.0,5.0,,8.0,9.0,,
0.0,,,10.0,6.0,,,9.0,6.0,1.0,,3.0
1.0,,,6.0,10.0,,0.0,7.0,4.0,8.0,,10.0
,,8.0,1.0,5.0,,,3.0,4.0,5.0,,9.0
,,,8.0,0.0,4.0,2.0,,4.0,,7.0,
,,4.0,,,,2.0,3.0,4.0,8.0,,
7.0,,10.0,10.0,,,2.0,,4.0,,,4.0
,,,,6.0,0.0,,1.0,10.0,,6.0,
5.0,7.0,9.0,4.0,7.0,,,3.0,7.0,,,5.0
