,0,1,2,3,4,5,6,7,8,9,10,11,12
0,3,4,3,6,6.0,,0,0,4,2,2.0,4,0
1,0,6,0,3,,9.0,2,0,8,4,9.0,5,9
2,7,9,3,5,2.0,,4,8,4,7,1.0,10,7
3,7,8,2,0,6.0,5.0,6,3,6,5,,10,0
4,1,6,6,2,,2.0,0,2,6,1,,5,0
5,7,8,10,9,1.0,3.0,9,2,5,3,10.0,6,4
6,9,1,0,1,6.0,4.0,9,0,6,5,8.0,0,1
7,5,2,4,8,,,10,4,10,2,3.0,8,4
8,10,6,9,3,1.0,,5,1,1,7,,8,8
9,6,0,0,7,,7.0,3,5,1,4,9.0,6,9
10,10,9,0,6,9.0,9.0,4,9,8,1,5.0,0,6
11,7,5,1,3,10.0,,4,7,5,10,,7,10
12,9,2,6,2,,,5,5,10,9,,5,2
13,6,7,5,0,5.0,,8,4,3,1,,7,5
14,5,6,3,1,10.0,,9,2,0,2,7.0,2,5
15,9,3,2,3,,10.0,7,10,3,9,,3,3
16,8,6,10,3,1.0,9.0,1,0,5,8,0.0,1,9
17,3,1,7,4,0.0,,4,9,10,1,,1,9
18,6,5,1,9,5.0,8.0,4,9,5,5,,8,5
19,6,3,2,3,0.0,1.0,1,1,10,7,8.0,10,5
20,3,9,7,10,,2.0,0,1,7,9,,8,0
21,5,4,6,4,5.0,4.0,5,5,6,0,5.0,10,2
22,6,8,7,2,10.0,9.0,0,7,2,8,,8,7
23,5,6,0,0,2.0,,3,3,2,6,,0,8
24,0,5,3,10,6.0,6.0,3,1,1,7,4.0,1,3
25,4,2,2,5,5.0,8.0,9,1,6,7,,9,5
26,0,9,1,7,,,10,9,3,4,,2,9
27,1,4,6,5,,,2,4,8,8,,6,8
28,5,6,6,5,,,4,4,4,5,,1,6
29,8,4,1,9,9.0,,1,6,8,7,,6,9
30,4,6,9,1,,8.0,1,6,4,10,8.0,6,0
31,8,9,6,5,,,8,8,6,7,9.0,4,4
32,7,4,7,2,10.0,1.0,2,5,8,4,,4,0
33,0,6,6,9,4.0,6.0,5,3,3,4,,7,7
34,7,10,5,7,0.0,9.0,7,10,10,4,,6,1
35,0,5,3,5,2.0,,5,2,0,9,,2,10
36,5,2,8,0,5.0,10.0,7,9,6,10,6.0,3,7
37,3,9,1,4,1.0,,2,10,0,5,,1,0
38,6,10,10,5,,,7,4,8,6,3.0,9,10
39,5,4,0,5,,,7,5,6,2,,10,6
40,7,9,8,10,2.0,3.0,2,9,8,0,0.0,10,6
41,9,1,10,2,6.0,3.0,1,2,4,7,0.0,9,4
42,3,8,8,7,7.0,4.0,8,1,9,5,6.0,8,8
43,4,5,3,6,1.0,8.0,0,9,7,6,10.0,0,0
44,4,10,0,8,6.0,,4,7,7,9,,7,8
