0,1,2,3,4,5,6,7,8,9,10,11,12,13
8,,3.0,,,,9,3.0,8,,,3.0,1.0,4.0
4,8.0,3.3333333333333335,6.0,2.0,7.0,6,3.0,10,,,2.0,3.0,8.0
9,7.333333333333333,3.6666666666666665,7.5,9.0,8.5,5,7.0,3,10.0,,1.0,6.0,9.0
9,6.666666666666667,4.0,9.0,7.0,10.0,2,6.0,7,9.666666666666666,2.0,3.5,6.0,5.0
8,6.0,5.25,9.5,4.5,3.0,1,4.0,0,9.333333333333334,1.0,6.0,6.0,8.0
2,6.5,6.5,10.0,2.0,2.0,7,2.0,7,9.0,4.5,6.333333333333333,7.0,4.0
7,7.0,7.75,5.0,1.5,6.0,8,0.0,8,8.0,8.0,6.666666666666667,5.0,6.5
0,5.0,9.0,5.0,1.0,1.0,6,1.0,9,7.0,6.0,7.0,7.0,9.0
3,7.5,1.0,5.0,1.0,1.3333333333333333,5,2.0,6,6.0,4.0,6.0,7.333333333333333,9.0
4,10.0,4.0,6.0,3.0,1.6666666666666665,9,3.0,9,7.5,2.0,5.0,7.666666666666667,1.0
0,7.333333333333334,7.0,2.0,10.0,2.0,7,4.0,7,9.0,0.0,4.0,8.0,3.25
1,4.666666666666667,10.0,1.5,9.0,7.0,8,0.0,6,6.0,5.0,3.0,6.0,5.5
2,2.0,9.333333333333334,1.0,5.0,7.5,0,0.5,2,3.0,5.0,2.0,4.0,7.75
6,6.0,8.666666666666666,4.0,1.0,8.0,6,1.0,6,5.0,5.0,1.0,2.0,10.0
0,10.0,8.0,3.0,8.0,1.0,7,1.5,1,7.0,5.0,0.0,0.0,8.25
6,1.0,8.666666666666666,2.0,5.0,7.0,6,2.0,4,5.5,0.0,2.0,9.0,6.5
1,0.0,9.333333333333334,1.0,2.0,3.5,10,5.0,10,4.0,0.3333333333333333,4.666666666666666,10.0,4.75
10,0.0,10.0,0.0,9.0,0.0,3,5.666666666666667,9,9.0,0.6666666666666666,7.333333333333333,9.75,3.0
4,1.0,8.0,0.0,7.0,7.0,6,6.333333333333333,10,5.0,1.0,10.0,9.5,5.0
5,2.0,9.0,0.0,5.0,6.0,7,7.0,6,3.0,1.6666666666666665,9.0,9.25,7.0
0,3.0,10.0,0.0,3.0,3.0,0,7.25,6,1.5,2.333333333333333,6.0,9.0,7.5
0,3.0,7.0,0.0,5.5,0.0,8,7.5,4,0.0,3.0,3.0,7.0,8.0
0,4.5,2.0,0.0,8.0,0.0,9,7.75,6,0.5,2.6666666666666665,2.4,5.0,9.0
5,6.0,9.0,1.0,6.0,9.0,3,8.0,5,1.0,2.3333333333333335,1.8,3.0,0.0
3,7.5,7.0,3.0,4.5,7.0,5,2.0,3,4.0,2.0,1.2000000000000002,3.0,1.75
6,9.0,6.5,5.0,3.0,5.0,8,4.0,10,10.0,4.0,0.6000000000000001,3.0,3.5
7,4.5,6.0,3.0,4.0,7.0,3,5.0,9,1.0,5.0,0.0,3.0,5.25
5,0.0,6.666666666666667,3.6666666666666665,5.0,6.75,0,6.0,7,2.0,3.0,4.0,6.0,7.0
4,3.0,7.333333333333333,4.333333333333333,4.0,6.5,0,6.0,2,3.0,2.8333333333333335,8.0,9.0,1.0
