0,1,2,3,4
10,9.0,6,9.0,2.0
1,6.0,9,6.0,8.0
3,3.0,6,7.0,8.0
5,0.0,3,8.0,4.0
7,3.5,5,4.0,0.0
3,7.0,8,9.0,4.0
7,3.0,10,10.0,4.0
7,2.0,2,4.0,4.0
9,1.0,1,4.0,4.0
0,3.5,0,4.0,4.0
6,6.0,8,4.0,5.0
5,9.0,5,8.0,6.0
0,0.0,10,9.0,3.0
9,2.5,2,10.0,4.666666666666667
3,5.0,3,6.666666666666666,6.333333333333334
3,0.0,9,3.333333333333333,8.0
8,5.0,2,0.0,1.0
5,7.0,6,3.0,0.0
7,8.0,2,6.0,6.0
9,5.5,6,4.5,8.0
1,3.0,2,3.0,6.25
3,4.0,2,2.0,4.5
2,5.0,6,9.0,2.75
4,6.0,7,3.0,1.0
6,7.0,9,4.5,10.0
6,10.0,1,6.0,7.5
8,9.0,4,4.0,5.0
9,5.0,10,6.0,2.5
0,0.0,3,10.0,0.0
4,0.6666666666666666,6,10.0,2.0
4,1.3333333333333333,4,10.0,4.0
3,2.0,6,10.0,6.0
1,3.0,3,10.0,8.0
7,4.0,7,7.666666666666666,7.0
9,4.2,10,5.333333333333333,8.0
9,4.4,6,3.0,9.0
7,4.6,1,6.0,10.0
7,4.8,4,4.5,9.5
3,5.0,0,3.0,9.0
8,5.0,7,7.0,6.333333333333334
10,5.0,1,8.0,3.666666666666667
8,5.0,6,6.0,1.0
2,5.0,6,5.75,9.0
4,5.0,2,5.5,7.0
5,5.5,7,5.25,4.0
2,6.0,9,5.0,6.0
8,6.5,4,3.333333333333333,5.571428571428571
9,7.0,3,1.6666666666666665,5.142857142857143
2,4.5,5,0.0,4.714285714285714
2,2.0,9,3.0,4.285714285714286
7,4.666666666666666,7,2.0,3.857142857142857
1,7.333333333333333,5,2.2,3.428571428571429
0,10.0,6,2.4,3.0
8,9.6,7,2.6,0.0
8,9.2,9,2.8,2.0
8,8.8,1,3.0,4.0
4,8.4,6,4.666666666666667,3.6666666666666665
6,8.0,9,6.333333333333334,3.3333333333333335
3,1.0,0,8.0,3.0
9,10.0,4,10.0,0.0
0,7.5,10,9.0,3.3333333333333335
7,5.0,8,8.0,6.666666666666667
0,5.5,2,8.0,10.0
2,6.0,4,7.5,5.0
2,6.5,4,7.0,0.0
1,7.0,0,7.0,1.0
10,5.0,2,10.0,8.0
3,3.0,4,8.0,6.25
6,3.25,9,6.0,4.5
9,3.5,5,10.0,2.75
3,3.75,3,6.0,1.0
6,4.0,8,6.0,2.0
5,7.0,10,6.0,3.0
3,10.0,8,0.0,4.0
5,9.0,0,9.0,3.3333333333333335
2,8.0,2,9.0,2.666666666666667
4,7.0,5,9.0,2.0
8,6.0,4,0.0,2.0
4,6.5,4,2.0,1.5
2,7.0,4,1.0,1.0
