,0,1,2,3,4,5,6
0,4,10,1,2,5,7,9
1,3,4,2,5,4,6,10
2,6,6,1,10,0,6,5
3,5,4,7,8,3,9,8
4,2,2,4,10,0,6,8
5,4,6,5,1,0,8,8
6,3,5,1,10,9,10,2
7,0,3,10,5,7,5,4
8,0,4,6,1,3,4,5
9,3,3,7,10,2,0,1
10,2,4,3,6,4,0,6
11,6,1,4,3,6,4,6
12,0,7,1,9,4,9,5
13,6,6,6,0,3,5,7
14,7,9,5,8,1,3,10
15,6,3,4,0,4,1,2
16,3,8,4,6,9,8,9
17,4,8,9,9,0,2,8
18,9,0,9,1,8,10,1
19,0,3,5,1,5,1,5
20,6,0,6,8,2,6,2
21,6,3,6,4,7,2,9
22,4,5,4,6,8,1,6
23,5,9,8,10,10,10,6
24,6,9,9,9,2,9,5
25,10,0,2,7,6,10,4
26,2,2,9,2,7,5,9
27,4,5,2,2,6,3,0
28,0,6,3,7,0,4,2
29,4,9,9,1,4,2,0
30,2,2,1,1,2,6,7
31,10,4,3,10,3,5,9
32,4,4,5,8,2,7,6
33,6,3,5,0,5,8,4
34,6,0,5,0,1,2,4
35,2,2,9,5,3,0,7
36,10,3,7,6,10,10,5
37,7,8,0,6,0,7,7
38,1,9,2,2,8,7,10
39,8,9,9,6,1,6,10
40,7,5,0,9,3,7,5
41,9,8,0,3,6,0,2
42,0,5,0,6,1,9,10
43,4,8,4,8,4,8,1
44,6,4,6,3,6,7,3
45,5,10,3,8,7,8,10
46,0,5,8,1,10,2,1
47,8,3,9,6,10,9,3
48,8,9,8,6,3,3,7
49,6,1,4,0,3,3,0
50,4,4,3,4,5,8,0
51,1,9,3,10,4,10,4
52,7,6,5,0,9,7,8
53,9,4,4,9,0,1,3
54,3,4,4,3,7,5,8
55,9,5,3,8,3,4,6
56,9,10,6,7,8,5,1
57,9,10,5,9,1,3,10
58,6,6,0,5,4,2,10
59,4,5,2,5,9,2,3
60,5,0,7,3,4,7,1
61,0,1,4,1,4,4,2
62,0,0,9,6,7,0,10
63,7,8,6,7,10,3,7
64,7,8,4,1,8,3,3
65,7,2,0,2,7,1,9
66,9,3,10,0,0,7,3
67,2,7,5,7,0,0,8
68,3,10,9,10,8,9,3
69,2,5,10,9,5,5,7
70,0,6,10,0,8,7,3
71,0,7,10,0,6,3,6
72,6,0,6,1,6,10,3
73,1,2,8,9,10,9,8
74,10,9,7,7,5,1,7
75,10,8,0,2,2,2,0
76,5,4,4,0,8,4,0
77,2,7,3,1,6,6,3
78,5,3,2,7,2,6,2
79,8,1,1,2,3,2,5
80,8,2,5,8,3,2,1
81,6,7,0,8,6,5,10
82,0,6,5,10,5,6,9
83,4,2,0,4,10,9,1
84,1,10,5,9,1,8,3
85,6,7,0,9,8,5,9
86,3,7,4,7,6,0,6
87,10,4,9,2,1,1,7
88,7,0,5,6,9,4,5
89,4,4,5,1,8,5,0
90,2,8,3,3,1,6,9
91,6,1,3,6,1,6,2
92,4,10,5,6,6,1,3
93,4,3,1,9,0,10,10
94,2,4,5,8,2,10,5
95,3,10,10,3,5,2,6
96,7,3,5,4,10,9,1
97,5,0,2,8,10,4,3
98,7,3,10,1,6,7,6
99,9,1,2,7,1,10,5
100,4,8,1,1,6,0,2
101,7,8,9,8,4,9,5
102,4,2,7,10,6,9,3
103,3,0,2,3,8,2,7
104,8,4,8,6,4,10,7
105,4,10,4,0,6,9,8
106,4,7,2,3,3,3,3
107,4,1,3,0,10,0,4
108,10,2,6,2,10,3,8
109,6,3,6,4,9,4,3
110,6,1,7,8,2,8,10
111,7,5,3,8,3,8,5
112,8,0,0,9,1,1,10
113,8,7,9,7,6,9,6
114,2,1,0,6,9,10,7
115,5,8,5,1,2,8,1
116,3,6,7,1,8,7,6
117,10,1,0,4,3,10,0
118,10,7,4,8,8,3,9
119,5,9,0,1,9,0,6
120,7,2,0,7,1,6,9
121,9,10,3,2,0,7,0
122,2,9,1,5,5,3,7
123,8,4,4,8,2,8,6
124,2,4,6,6,1,0,1
125,0,9,6,1,7,4,1
126,6,2,6,6,7,1,6
127,8,3,0,1,7,3,5
128,8,10,1,5,9,0,4
129,9,9,4,3,9,6,5
130,3,0,10,3,10,1,6
131,1,6,10,8,5,1,1
132,2,2,3,2,4,3,2
133,10,0,5,0,7,2,2
134,8,3,6,9,5,6,5
135,3,8,2,4,4,2,0
136,7,10,6,8,3,9,4
137,10,10,9,7,0,6,6
138,4,10,3,4,5,4,2
139,7,9,3,5,9,0,4
140,10,6,4,7,3,2,3
141,4,10,6,6,0,10,8
142,4,3,7,7,3,8,1
143,5,6,9,2,8,1,8
144,4,8,1,0,10,9,7
145,4,6,5,10,1,6,1
146,9,10,3,6,6,8,10
147,8,6,8,9,8,8,1
148,9,4,3,8,5,5,0
149,4,3,4,4,3,4,7
150,4,5,9,2,1,2,4
151,4,1,7,6,1,7,4
152,7,10,8,9,6,5,7
153,3,5,5,5,6,0,10
154,9,10,8,10,9,5,7
155,4,3,8,5,4,10,10
156,1,5,7,1,3,8,8
157,4,3,9,10,0,1,0
158,9,8,3,1,10,5,5
