0,1,2,3,4,5,6
4,0.0,6,,8.0,4,
0,3.0,7,,1.0,3,
4,6.0,10,5.0,1.0,1,10.0
3,8.0,3,5.5,1.0,6,9.0
1,6.0,0,6.0,3.0,0,8.0
5,4.0,3,5.4,5.0,5,7.0
5,6.0,6,4.8,3.5,0,6.0
2,6.0,0,4.2,2.0,10,5.0
3,3.5,7,3.6,1.0,7,4.0
9,1.0,0,3.0,1.25,6,3.0
5,2.0,6,2.0,1.5,9,7.0
1,3.0,5,6.0,1.75,9,6.0
3,4.0,1,10.0,2.0,7,7.333333333333333
0,5.0,4,9.5,1.6666666666666667,1,8.666666666666666
6,6.0,9,9.0,1.3333333333333335,8,10.0
4,7.0,0,8.5,1.0,10,10.0
4,8.0,3,8.0,0.75,3,5.0
9,2.0,9,6.5,0.5,9,0.0
7,6.0,8,5.0,0.25,1,1.0
4,9.0,3,3.5,0.0,0,2.0
1,8.75,0,2.0,2.5,8,2.25
5,8.5,2,2.75,5.0,0,2.5
1,8.25,10,3.5,3.75,6,2.75
3,8.0,6,4.25,2.5,4,3.0
10,0.0,0,5.0,1.25,1,4.75
7,6.0,10,7.5,0.0,10,6.5
4,6.0,10,10.0,5.0,10,8.25
6,1.0,9,4.0,10.0,1,10.0
10,4.5,10,6.0,0.0,2,9.0
6,8.0,6,8.0,1.0,8,3.0
2,9.0,5,8.5,1.0,6,8.0
10,7.666666666666667,1,9.0,1.0,10,8.0
2,6.333333333333334,8,9.5,1.0,1,8.5
4,5.0,4,10.0,1.0,5,9.0
2,2.0,1,2.0,0.75,3,9.5
6,7.0,7,0.0,0.5,6,10.0
2,3.5,0,0.0,0.25,0,7.333333333333334
3,0.0,3,0.0,0.0,8,4.666666666666667
1,2.3333333333333335,2,0.0,0.2,10,2.0
6,4.666666666666667,7,2.0,0.4,1,0.0
0,7.0,3,1.5,0.6000000000000001,0,2.5
10,5.5,5,1.0,0.8,9,5.0
7,4.0,1,5.0,1.0,1,3.0
6,6.0,6,4.666666666666667,6.0,6,1.0
6,3.0,4,4.333333333333333,9.0,0,2.0
7,0.0,2,4.0,8.0,1,3.0
0,6.0,8,4.0,7.0,9,4.0
7,10.0,2,6.0,8.0,1,4.0
4,9.0,1,4.5,9.0,6,4.0
3,8.0,7,3.0,10.0,6,4.0
4,7.0,6,8.0,8.666666666666666,5,2.0
2,7.0,1,5.0,7.333333333333334,4,5.0
8,7.0,5,7.5,6.0,2,7.0
7,6.5,7,10.0,10.0,2,9.0
1,6.0,0,5.5,8.333333333333334,8,6.0
8,5.5,4,1.0,6.666666666666666,10,3.0
0,5.0,0,3.0,5.0,8,5.333333333333334
5,4.666666666666667,0,5.0,5.0,0,7.666666666666667
7,4.333333333333333,0,3.0,0.0,10,10.0
1,4.0,1,1.0,1.3333333333333333,5,7.0
8,4.0,2,0.8333333333333334,2.6666666666666665,10,4.0
3,2.5,7,0.6666666666666667,4.0,7,8.0
3,1.0,8,0.5,7.0,8,6.5
9,8.0,9,0.33333333333333337,6.25,4,5.0
3,10.0,9,0.16666666666666674,5.5,9,5.0
8,0.0,3,0.0,4.75,10,4.0
0,3.0,6,2.25,4.0,4,3.4
10,6.0,6,4.5,10.0,8,2.8
7,3.0,8,6.75,1.0,7,2.2
5,6.0,10,9.0,0.0,1,1.6
6,1.0,2,10.0,4.0,5,1.0
3,3.3333333333333335,7,10.0,8.0,6,2.0
4,5.666666666666667,10,9.0,9.0,3,2.0
8,8.0,5,6.0,4.0,3,2.0
2,5.5,6,3.0,0.0,0,4.5
6,3.0,3,0.0,9.0,0,7.0
6,4.0,4,2.0,7.6,4,6.0
1,7.0,0,4.0,6.2,0,5.0
7,5.666666666666667,6,6.0,4.800000000000001,5,4.0
4,4.333333333333334,4,6.666666666666667,3.4000000000000004,8,6.0
9,3.0,6,7.333333333333333,2.0,3,8.0
8,2.8,4,8.0,0.0,7,7.666666666666667
10,2.6,1,2.0,0.0,8,7.333333333333333
0,2.4,2,8.0,3.0,4,7.0
4,2.2,6,2.0,2.3333333333333335,2,9.0
8,2.0,9,3.333333333333333,1.6666666666666667,2,8.333333333333334
