,0,1,2,3,4,5,6,7
0,6.0,,8.0,3.0,0,5,10.0,2
1,,,,,6,9,,1
2,,9.0,6.0,,4,1,,0
3,2.0,,2.0,,7,4,3.0,1
4,8.0,,10.0,,8,0,,4
5,,0.0,8.0,,4,6,,7
6,3.0,,,8.0,4,0,,3
7,7.0,5.0,4.0,,6,0,6.0,6
8,,10.0,,1.0,8,3,0.0,10
9,,,,,2,3,2.0,7
10,5.0,1.0,,8.0,8,2,,0
11,0.0,,,,5,1,6.0,5
12,8.0,,6.0,,7,8,4.0,0
13,,,6.0,,8,0,,4
14,3.0,,8.0,,10,1,,10
15,9.0,,4.0,3.0,2,3,,9
16,,,0.0,1.0,9,3,9.0,3
17,8.0,,,2.0,4,10,,5
18,8.0,,2.0,8.0,5,1,,5
19,,,,7.0,9,1,,10
20,,1.0,,8.0,1,6,8.0,9
21,,,5.0,,8,10,,10
22,0.0,,0.0,,2,5,3.0,3
23,,10.0,8.0,7.0,0,8,10.0,10
24,0.0,,10.0,,4,0,5.0,9
25,9.0,9.0,6.0,9.0,6,3,,5
26,8.0,,5.0,,7,6,,9
27,4.0,,,,6,6,3.0,3
28,1.0,7.0,,3.0,10,5,,8
29,,3.0,,,4,1,,3
30,,4.0,1.0,5.0,2,2,,5
31,,,,,3,4,,7
32,,4.0,,5.0,1,2,3.0,3
33,,,,4.0,2,9,9.0,5
34,,,9.0,1.0,4,6,,5
35,0.0,,,,9,4,9.0,2
36,,,,2.0,8,2,,4
37,,,5.0,,5,0,2.0,10
38,9.0,,,7.0,8,9,3.0,1
39,,,5.0,,6,8,10.0,2
40,7.0,,,,2,5,,5
41,,,9.0,10.0,3,4,,0
42,3.0,,,,4,10,10.0,0
43,,9.0,,9.0,5,8,4.0,8
44,,,,,6,0,,3
45,,,1.0,,0,4,10.0,6
46,2.0,,,2.0,8,8,,7
47,8.0,7.0,,,1,7,,4
48,,,5.0,8.0,3,8,,2
49,,1.0,,,4,8,1.0,6
50,4.0,9.0,,,3,5,6.0,6
51,,,6.0,4.0,10,7,8.0,7
52,8.0,4.0,,6.0,4,6,10.0,4
53,,5.0,1.0,5.0,3,0,,9
54,,2.0,,,8,3,2.0,8
55,,3.0,,,9,3,,0
56,,,,0.0,1,8,6.0,5
57,1.0,,,,4,1,,5
58,2.0,,1.0,10.0,9,4,,7
59,,2.0,,,5,9,,1
60,3.0,6.0,,,3,7,,0
61,10.0,5.0,,,2,2,3.0,4
62,,0.0,,9.0,1,7,,3
63,,,,,8,8,3.0,9
64,5.0,,,7.0,2,8,0.0,5
65,8.0,8.0,,7.0,5,6,9.0,7
66,10.0,,7.0,,2,10,9.0,3
67,,1.0,,5.0,5,9,,8
68,,,,1.0,4,2,,6
69,10.0,,10.0,3.0,5,4,,9
70,6.0,5.0,,0.0,4,6,,1
71,,3.0,,,6,10,,3
72,,,2.0,,10,0,1.0,9
73,10.0,10.0,3.0,,3,5,1.0,7
74,5.0,,,10.0,6,1,3.0,8
75,,4.0,,,7,2,7.0,4
76,,3.0,6.0,7.0,4,2,,9
77,6.0,,1.0,1.0,2,1,2.0,7
78,2.0,3.0,0.0,6.0,6,5,0.0,5
79,,9.0,0.0,,9,3,1.0,4
80,6.0,,,,1,2,,6
81,4.0,,9.0,,3,0,0.0,2
82,5.0,,,,6,4,7.0,7
83,,6.0,4.0,10.0,3,2,,5
84,,,6.0,,8,0,,3
85,9.0,,3.0,,3,2,,8
86,9.0,5.0,0.0,5.0,10,3,3.0,3
87,,,,1.0,4,6,,10
88,1.0,,,2.0,0,1,3.0,9
89,7.0,,,,8,5,,10
90,,8.0,,,9,7,9.0,10
91,,2.0,,,3,9,,1
92,,5.0,10.0,3.0,4,5,,3
93,0.0,,2.0,,2,1,,8
94,10.0,,,,9,6,10.0,9
95,,,,,4,5,,10
96,,0.0,4.0,,8,7,,7
97,,7.0,,,1,5,,9
98,6.0,3.0,,,8,3,,8
99,4.0,6.0,3.0,3.0,4,3,,2
100,,5.0,0.0,7.0,7,8,8.0,9
101,,,,,9,2,,3
102,,,2.0,,8,3,1.0,9
103,,,,8.0,1,1,1.0,1
104,,6.0,10.0,9.0,7,3,10.0,10
105,,6.0,4.0,3.0,3,4,2.0,7
106,7.0,,5.0,,5,7,10.0,10
107,,,,0.0,0,8,10.0,1
108,,,,7.0,0,1,5.0,9
109,4.0,8.0,4.0,5.0,1,10,5.0,10
110,,1.0,,,0,4,2.0,9
111,,,10.0,,8,3,,7
112,3.0,,,,2,7,2.0,10
113,,,,,3,1,2.0,2
114,,,0.0,6.0,10,1,,1
115,7.0,,6.0,,2,4,6.0,2
116,,,2.0,,8,2,10.0,8
117,,10.0,3.0,,7,8,5.0,2
118,,,3.0,,6,0,,1
119,,,5.0,5.0,4,3,1.0,5
120,,,2.0,3.0,3,10,2.0,3
121,,,9.0,3.0,1,5,,3
122,7.0,,0.0,,5,2,,7
123,3.0,4.0,,,2,9,,9
124,6.0,10.0,,,5,7,9.0,10
125,7.0,3.0,,,5,9,,9
126,5.0,3.0,,,8,5,10.0,2
127,6.0,,1.0,8.0,1,0,1.0,10
128,4.0,1.0,7.0,,0,8,5.0,5
129,,,6.0,,10,1,8.0,10
130,,9.0,,4.0,10,6,9.0,5
131,1.0,,,,10,2,1.0,0
132,7.0,5.0,,6.0,5,3,0.0,2
133,5.0,1.0,2.0,,4,9,,6
134,,,,1.0,7,9,9.0,8
135,,,,,9,5,0.0,7
136,6.0,4.0,9.0,2.0,8,0,5.0,3
137,4.0,,,9.0,2,7,,4
138,,,,2.0,0,5,0.0,4
139,2.0,5.0,10.0,,5,6,,6
140,,,,6.0,2,6,,10
141,6.0,7.0,3.0,,1,9,2.0,8
142,,4.0,,10.0,10,5,9.0,10
143,,,8.0,,4,5,,0
144,,,2.0,0.0,5,5,,5
145,,6.0,7.0,,4,8,2.0,8
146,0.0,,0.0,6.0,5,2,,0
