0,1,2,3,4,5,6,7,8
7.0,,,,1,1.0,7,,0
10.0,,,2.0,10,,4,,4
8.0,,,,6,6.0,0,,3
6.0,2.0,9.0,4.0,8,,0,1.0,10
6.0,,,5.0,5,5.0,2,2.0,4
6.0,,,2.0,2,,4,6.0,1
6.0,,,,7,,1,,8
6.0,4.0,,3.0,3,,2,,3
6.5,4.0,,,5,,10,,1
7.0,4.0,,,5,8.0,4,5.0,5
6.0,,6.0,10.0,0,,5,,10
3.0,7.0,,,8,10.0,5,,6
0.0,,10.0,,10,2.0,0,9.0,0
7.0,5.0,9.0,1.0,4,,4,7.0,2
7.5,,3.0,3.0,1,,10,2.0,8
8.0,8.0,6.0,,2,,10,,10
0.0,2.0,,1.0,3,6.0,10,8.0,5
10.0,,,,0,,0,7.0,1
1.0,10.0,,,5,6.0,2,,8
1.0,,,,9,,3,4.0,3
10.0,,,3.0,9,,4,5.0,1
6.0,,10.0,4.0,6,,5,10.0,6
2.0,,10.0,8.0,1,,6,7.0,4
1.0,,,3.0,6,6.0,3,,2
0.0,,,5.0,7,7.0,4,1.0,2
0.5,4.0,,10.0,7,3.0,10,5.0,0
1.0,,6.0,,6,8.0,0,,9
6.0,,3.0,0.0,1,,0,5.0,10
4.0,3.0,0.0,7.0,10,,6,0.0,7
10.0,,2.0,,3,0.0,5,3.0,6
9.5,1.0,,7.0,4,7.0,7,6.0,0
9.0,,8.0,,7,2.0,7,,1
8.5,6.0,,,4,2.0,1,,5
8.0,,,7.0,4,,0,,8
7.5,9.0,9.0,,4,,7,8.0,2
7.0,,2.0,,1,5.0,8,1.0,6
6.0,7.0,0.0,10.0,9,4.0,5,,3
5.0,4.0,,,4,4.0,7,1.0,5
8.0,,,,9,,10,1.0,10
10.0,4.0,2.0,,5,,10,8.0,10
9.5,7.0,5.0,6.0,4,,3,2.0,10
9.0,,,5.0,8,2.0,3,2.0,2
8.5,,,7.0,1,,0,4.0,8
8.0,,7.0,4.0,3,,8,3.0,1
7.5,4.0,7.0,,6,2.0,4,0.0,1
7.0,10.0,,,0,6.0,1,10.0,3
6.5,,7.0,,2,,5,,0
6.0,9.0,9.0,,8,5.0,3,1.0,3
8.0,,5.0,3.0,4,,9,4.0,2
6.666666666666667,7.0,,,9,,2,0.0,4
5.333333333333334,7.0,6.0,0.0,10,5.0,7,,5
4.0,5.0,1.0,4.0,10,1.0,0,,8
4.0,,1.0,0.0,0,,3,9.0,1
4.0,9.0,,,5,5.0,2,4.0,3
3.0,,,8.0,0,,9,9.0,4
2.0,,7.0,,10,3.0,2,,8
2.0,3.0,2.0,0.0,7,0.0,9,0.0,5
2.0,,8.0,3.0,9,,3,,8
10.0,,10.0,,6,,7,,1
6.666666666666666,7.0,5.0,2.0,6,3.0,6,,9
3.333333333333333,8.0,,7.0,1,,1,6.0,4
0.0,6.0,3.0,8.0,6,,9,10.0,5
0.5,,,2.0,3,9.0,3,,1
1.0,10.0,6.0,0.0,3,1.0,0,10.0,3
7.0,,0.0,,2,9.0,10,8.0,8
1.0,,1.0,9.0,0,6.0,1,,8
2.142857142857143,,,,6,,9,1.0,4
3.2857142857142856,,,4.0,10,,4,,5
4.428571428571429,,,10.0,5,,1,,9
5.571428571428571,8.0,9.0,,5,,7,,6
6.7142857142857135,,,,0,0.0,3,5.0,1
7.857142857142857,,6.0,,10,,9,4.0,8
9.0,,6.0,6.0,6,,10,,0
8.75,6.0,,0.0,10,5.0,1,0.0,2
8.5,,,,6,,10,,7
8.25,6.0,7.0,6.0,3,,10,,3
8.0,5.0,4.0,3.0,0,,1,8.0,3
6.5,,,5.0,6,4.0,1,10.0,2
5.0,8.0,,5.0,4,5.0,4,,1
2.0,,,,1,0.0,10,4.0,7
4.0,5.0,,,5,,8,6.0,0
9.0,6.0,5.0,,10,,4,7.0,1
9.5,,3.0,0.0,9,,6,7.0,8
10.0,8.0,4.0,,6,,6,3.0,4
8.333333333333334,6.0,,,6,,8,10.0,4
6.666666666666666,,,3.0,5,,8,,6
5.0,3.0,,2.0,9,8.0,6,,10
7.0,3.0,10.0,8.0,8,3.0,8,,6
4.0,7.0,9.0,,3,2.0,10,,10
1.0,4.0,,0.0,9,,8,7.0,2
1.0,,,1.0,3,,0,4.0,8
2.0,1.0,8.0,7.0,6,4.0,6,,0
1.6666666666666667,,5.0,10.0,3,,10,,8
1.3333333333333335,,8.0,,8,5.0,4,7.0,10
1.0,,8.0,10.0,7,,10,,10
5.0,8.0,,4.0,9,,7,8.0,5
9.0,10.0,,,6,,6,0.0,8
7.333333333333333,7.0,3.0,,9,9.0,5,5.0,10
5.666666666666666,1.0,10.0,,7,,6,8.0,8
4.0,3.0,9.0,2.0,2,,8,,6
3.0,1.0,3.0,10.0,7,0.0,0,5.0,4
3.0,,1.0,4.0,10,2.0,4,0.0,3
3.0,,10.0,6.0,2,3.0,6,7.0,3
4.0,5.0,,1.0,4,8.0,3,8.0,3
5.0,,,1.0,8,3.0,9,6.0,6
6.0,,2.0,5.0,3,,2,,4
7.0,,,,7,,5,,7
8.0,1.0,,4.0,4,,7,,7
9.0,10.0,10.0,,8,7.0,3,0.0,10
10.0,1.0,9.0,,7,,4,9.0,7
9.0,,6.0,,2,0.0,8,,9
2.0,,0.0,8.0,0,,10,5.0,2
2.5,0.0,,,8,9.0,8,,5
3.0,2.0,,,9,,7,3.0,3
2.0,3.0,,,5,2.0,3,,0
1.6666666666666667,6.0,10.0,0.0,0,,1,,3
1.3333333333333335,7.0,9.0,,7,6.0,7,,4
1.0,10.0,5.0,6.0,5,8.0,3,,2
2.25,,9.0,,10,1.0,6,0.0,7
3.5,7.0,3.0,3.0,1,,4,0.0,2
4.75,3.0,,,9,6.0,5,4.0,5
6.0,5.0,0.0,10.0,2,,1,,6
5.0,,,5.0,8,,7,,8
4.0,8.0,,,3,,6,6.0,9
3.0,,,,8,,0,7.0,2
8.0,,,,2,,7,,2
5.333333333333334,,,,6,,3,4.0,10
2.666666666666667,7.0,10.0,4.0,10,,9,3.0,6
0.0,,,5.0,6,4.0,9,8.0,9
2.0,,,6.0,10,2.0,7,,5
4.0,0.0,,0.0,8,,10,9.0,5
9.0,,4.0,,8,1.0,1,2.0,0
10.0,,,10.0,2,3.0,5,7.0,4
7.0,,3.0,0.0,9,7.0,7,,7
4.0,,3.0,,6,6.0,0,,8
1.0,5.0,4.0,,3,9.0,0,4.0,2
3.0,,3.0,,8,,1,,3
5.0,,10.0,,6,7.0,3,,10
3.0,10.0,9.0,,8,,0,,4
6.0,,,5.0,4,,0,,1
9.0,10.0,,,1,9.0,5,9.0,10
5.5,1.0,1.0,9.0,10,9.0,4,,3
2.0,6.0,,7.0,9,1.0,3,,10
1.0,0.0,,,0,7.0,6,6.0,9
3.0,4.0,,2.0,10,7.0,3,,1
5.333333333333334,,7.0,6.0,1,1.0,4,5.0,9
7.666666666666667,5.0,,,8,0.0,1,9.0,5
10.0,,,5.0,7,,4,4.0,6
8.666666666666666,,,3.0,10,2.0,0,5.0,9
7.333333333333334,7.0,,1.0,1,,5,2.0,7
6.0,,,9.0,9,2.0,9,3.0,9
7.0,,3.0,,3,,7,0.0,8
5.0,5.0,,,10,1.0,10,,7
9.0,,8.0,3.0,1,10.0,7,5.0,6
10.0,9.0,9.0,2.0,4,8.0,3,,10
6.0,,5.0,0.0,6,3.0,4,,9
9.0,6.0,,3.0,0,,4,0.0,10
7.0,10.0,,,9,7.0,1,,9
5.0,,1.0,,2,,3,6.0,8
3.0,,,3.0,2,2.0,7,6.0,4
4.5,6.0,2.0,3.0,3,2.0,4,7.0,8
6.0,2.0,,,0,5.0,5,,7
1.0,,,6.0,1,,10,,10
4.0,1.0,,,9,4.0,0,,7
2.0,,,,9,,9,,8
3.0,,,2.0,7,5.0,2,6.0,0
6.5,5.0,7.0,,3,,0,3.0,2
10.0,2.0,1.0,,4,,7,8.0,0
