,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0,8,4,9,4,9,2,1,7,4,8,8,5,6
1,1,9,8,8,10,8,7,6,6,3,5,2,0,10
2,3,5,7,10,8,3,1,5,5,4,4,3,8,2
3,5,8,10,9,9,3,7,2,10,3,4,10,7,0
4,6,7,10,9,8,10,2,6,7,7,3,1,7,3
5,4,6,2,3,5,5,0,2,4,5,8,2,6,4
6,3,6,0,0,8,9,8,6,7,8,4,8,2,9
7,10,5,6,7,4,3,3,2,3,8,7,6,5,8
8,2,3,6,5,3,6,7,2,6,2,0,9,2,3
9,8,3,7,6,1,2,5,8,7,9,7,9,3,3
10,7,1,5,7,6,3,2,0,4,7,10,7,6,0
11,9,10,2,3,5,2,10,0,8,10,9,10,2,2
12,9,5,1,3,8,1,1,0,6,0,7,3,6,5
13,8,3,9,7,10,4,3,10,2,6,5,4,3,6
14,1,5,7,8,8,8,4,1,6,9,3,4,8,10
15,1,2,10,9,2,10,2,9,3,8,9,5,6,0
16,8,3,6,1,10,6,10,8,0,6,4,10,4,5
17,7,6,9,2,9,1,5,2,7,0,1,1,1,8
18,10,10,4,7,2,4,9,3,2,6,7,7,8,10
19,3,9,0,5,5,9,1,6,7,2,5,9,10,10
20,8,5,3,2,2,7,9,1,3,4,6,10,8,2
21,0,5,7,8,6,5,2,2,8,9,8,9,0,5
22,9,3,1,9,6,7,4,6,7,1,0,2,10,1
23,7,9,7,6,6,4,1,10,8,5,10,6,5,2
24,8,8,5,1,5,7,9,9,7,0,6,1,9,6
25,1,8,7,0,0,7,2,5,2,9,0,4,6,7
26,2,1,3,1,10,1,10,1,9,9,1,5,8,0
27,5,9,0,6,7,8,10,8,1,2,8,8,7,3
28,7,2,0,2,0,10,1,0,8,6,0,5,7,9
29,5,9,4,4,1,3,2,6,10,0,4,5,6,10
30,4,5,2,6,0,0,10,6,7,5,0,3,5,2
31,10,1,10,9,9,6,10,10,5,1,6,4,7,1
32,8,1,4,1,0,8,10,8,5,9,5,10,3,8
33,0,9,6,2,9,1,7,2,10,2,6,1,9,4
34,6,7,2,2,10,1,7,6,2,1,1,7,9,1
35,2,0,9,2,8,5,2,4,9,3,10,0,1,4
36,7,3,2,9,2,8,9,0,1,7,0,2,10,8
37,8,1,9,9,6,3,3,10,6,4,1,7,10,1
38,6,5,6,10,7,9,9,0,3,10,4,6,4,8
39,10,5,9,3,0,5,2,9,1,9,2,0,6,4
40,0,1,10,9,1,9,9,6,6,4,10,0,10,0
41,4,4,9,9,3,3,9,5,9,10,9,7,2,3
42,3,7,5,3,4,8,6,7,4,6,7,5,6,1
43,0,7,6,6,4,5,4,0,0,10,9,3,3,8
44,8,10,2,1,1,10,4,9,10,8,9,7,0,1
45,0,4,6,6,4,6,9,5,8,7,1,1,9,8
46,2,8,10,8,0,7,1,7,6,7,0,0,8,5
47,0,1,0,5,9,10,4,9,4,9,10,10,8,4
48,7,2,1,5,10,0,0,1,3,9,3,7,3,8
49,9,2,5,3,10,7,0,8,0,1,1,3,6,5
50,1,7,5,9,7,1,7,8,4,4,6,6,1,2
51,8,6,0,8,7,7,1,9,6,0,0,3,8,10
52,8,4,1,9,9,2,6,10,4,2,4,10,8,1
53,2,6,6,1,0,9,2,10,3,0,4,3,2,6
54,10,10,1,10,4,2,5,4,1,4,3,8,1,8
55,8,3,7,10,8,1,9,0,5,0,5,6,2,10
56,5,5,3,10,0,6,10,1,1,1,7,10,1,5
57,0,1,3,2,0,8,4,0,8,9,3,0,5,5
58,6,4,7,6,7,4,5,7,8,8,0,9,1,1
59,0,5,8,3,8,8,1,7,3,2,1,8,10,1
60,3,5,5,1,1,6,8,8,0,8,8,8,10,4
61,1,10,10,4,6,0,2,9,10,0,6,9,7,4
62,3,1,8,2,7,9,0,5,2,9,10,4,9,1
63,6,8,3,3,5,8,6,10,7,0,9,0,5,6
64,10,6,7,3,2,2,10,3,7,8,6,5,5,2
65,9,1,2,4,7,7,10,2,10,9,6,6,3,3
66,7,9,6,1,4,3,8,10,9,4,10,6,6,1
67,10,6,7,9,1,0,4,2,9,10,3,8,7,0
68,9,4,7,3,5,7,9,7,0,2,8,2,9,5
69,0,8,10,4,3,3,10,1,8,0,7,6,10,1
70,4,10,2,8,6,4,7,1,3,1,10,9,7,6
71,7,0,6,2,7,7,8,4,3,4,0,10,6,8
72,6,2,2,10,0,10,10,7,8,5,2,10,8,8
73,10,9,0,5,0,2,4,0,10,10,9,2,9,8
74,0,2,1,2,4,5,0,4,1,9,2,2,10,10
75,9,10,6,2,3,1,5,3,0,3,0,1,4,1
