0,1,2,3,4,5,6
4.0,,,3.0,4.0,6.0,
,,7.0,,,6.0,
,,6.4,9.0,7.0,9.0,
8.0,0.0,5.8,7.0,,,
6.0,1.0,5.2,,,5.0,1.0
,,4.6,,2.0,,
,3.0,4.0,,1.0,,9.0
7.0,,9.0,,,,3.0
3.0,,7.333333333333333,5.0,5.0,,5.0
,,5.666666666666666,,,,
,6.0,4.0,4.0,0.0,,6.0
,,6.0,,,,
,10.0,6.0,0.0,,10.0,
,,6.0,,5.0,,
3.0,9.0,6.0,10.0,2.0,,
10.0,10.0,6.0,0.0,,,
,,6.0,,,,8.0
,,6.0,3.0,10.0,,2.0
8.0,,6.0,,,,6.0
10.0,,6.0,,4.0,4.0,9.0
,,2.0,9.0,7.0,2.0,
,,2.0,2.0,4.0,10.0,8.0
,,2.0,,1.0,9.0,
,,5.0,,,,
,7.0,1.0,,3.0,0.0,6.0
,,6.0,,3.0,,8.0
,8.0,6.333333333333333,1.0,,,
10.0,7.0,6.666666666666667,,,1.0,5.0
0.0,5.0,7.0,8.0,,3.0,5.0
,10.0,7.666666666666667,2.0,,,5.0
0.0,,8.333333333333334,,8.0,5.0,6.0
10.0,,9.0,,9.0,8.0,3.0
,0.0,7.5,10.0,,10.0,8.0
8.0,3.0,6.0,,,9.0,
9.0,4.0,6.0,,0.0,3.0,
9.0,0.0,6.0,1.0,5.0,,5.0
,3.0,6.0,,,,
,5.0,6.0,,,4.0,0.0
,,6.0,4.0,,,2.0
,,6.0,,,,0.0
9.0,2.0,6.0,,8.0,,
10.0,9.0,6.0,10.0,2.0,4.0,
0.0,,3.0,,3.0,,10.0
,2.0,3.75,0.0,,,1.0
,,4.5,,0.0,,
6.0,,5.25,0.0,,,0.0
4.0,4.0,6.0,,8.0,,5.0
9.0,7.0,5.333333333333333,9.0,,,
,,4.666666666666667,0.0,8.0,,4.0
0.0,1.0,4.0,6.0,1.0,10.0,9.0
,,6.0,9.0,,6.0,8.0
0.0,,8.0,,0.0,8.0,
,,10.0,3.0,,,
5.0,2.0,3.0,5.0,6.0,3.0,
,,3.0,,10.0,,10.0
,3.0,3.0,6.0,10.0,,
1.0,,10.0,,10.0,0.0,
2.0,,9.0,8.0,,10.0,3.0
6.0,,8.0,,,7.0,3.0
3.0,6.0,4.5,0.0,,,7.0
8.0,8.0,1.0,,,0.0,
,0.0,3.6666666666666665,,,5.0,
9.0,,6.333333333333333,,,,1.0
,,9.0,,,4.0,2.0
10.0,8.0,0.0,0.0,4.0,,7.0
5.0,5.0,6.0,7.0,,,9.0
,,6.0,6.0,0.0,2.0,8.0
7.0,4.0,6.0,,,,
3.0,,7.0,9.0,,,
4.0,,7.75,6.0,8.0,1.0,2.0
,5.0,8.5,10.0,,0.0,
9.0,,9.25,5.0,,2.0,
10.0,5.0,10.0,,6.0,,4.0
10.0,,8.333333333333334,,,3.0,3.0
,,6.666666666666666,,,2.0,
7.0,,5.0,2.0,0.0,7.0,
8.0,2.0,3.5,,,,
1.0,4.0,2.0,1.0,6.0,,2.0
,,6.0,,0.0,8.0,
