0,1,2,3,4,5,6,7,8,9
9,,8,,5,,,5.0,0.0,1
4,10.0,3,,5,,4.0,6.0,8.0,5
6,6.5,5,,4,0.0,4.0,7.0,6.0,1
3,3.0,2,,1,2.25,5.0,8.0,4.0,7
5,2.0,7,1.0,2,4.5,6.0,9.0,3.0,9
5,4.0,7,8.0,8,6.75,7.0,8.0,3.0,10
8,2.0,4,6.666666666666667,2,9.0,7.0,5.333333333333334,7.0,9
5,7.0,8,5.333333333333334,9,4.0,7.0,2.666666666666667,1.0,10
0,10.0,5,4.0,2,4.333333333333333,7.0,0.0,2.5,9
2,9.6,6,7.0,1,4.666666666666667,6.0,7.0,4.0,0
1,9.2,6,7.333333333333333,1,5.0,5.0,7.5,5.5,5
4,8.8,5,7.666666666666667,0,4.666666666666667,4.0,8.0,7.0,8
8,8.4,10,8.0,7,4.333333333333333,3.0,5.5,7.333333333333333,5
1,8.0,10,9.0,5,4.0,2.75,3.0,7.666666666666667,1
0,6.666666666666667,3,8.0,9,3.666666666666667,2.5,4.0,8.0,5
9,5.333333333333334,4,6.333333333333333,5,3.3333333333333335,2.25,3.75,6.5,9
5,4.0,0,4.666666666666666,6,3.0,2.0,3.5,5.0,4
2,5.0,7,3.0,5,6.0,7.0,3.25,3.5,5
10,7.0,9,5.5,8,9.0,5.5,3.0,2.0,3
0,9.0,7,8.0,1,10.0,4.0,7.0,1.6666666666666667,0
5,8.0,6,7.0,4,4.0,3.4,2.0,1.3333333333333335,6
0,10.0,6,6.0,0,3.0,2.8,7.0,1.0,1
6,2.0,1,5.0,3,7.0,2.2,4.0,0.0,6
0,6.0,10,3.0,7,7.0,1.6,1.0,9.0,6
6,10.0,8,10.0,4,7.0,1.0,1.6666666666666665,3.0,3
7,10.0,0,8.333333333333334,5,7.0,4.5,2.333333333333333,10.0,6
0,4.0,5,6.666666666666666,10,7.0,8.0,3.0,6.666666666666666,6
1,3.0,5,5.0,1,4.0,1.0,3.0,3.333333333333333,5
