,0,1,2,3,4,5,6,7,8,9,10,11,12
0,10,0,1,7,4,2,3,10,10,7,10,9,5
1,6,4,4,1,9,1,9,2,10,8,6,0,9
2,7,5,0,1,9,4,5,4,1,7,0,7,10
3,1,2,2,6,7,0,1,1,8,2,2,7,2
4,5,8,7,5,1,8,2,5,6,7,10,6,8
5,2,2,5,3,0,3,2,2,8,0,7,3,10
6,9,3,3,8,7,4,5,3,2,6,7,9,0
7,7,2,6,1,2,8,9,8,6,0,1,2,2
8,9,10,1,7,8,10,9,6,4,8,10,2,6
9,3,6,8,2,5,7,5,5,3,7,10,2,3
10,3,8,4,6,9,2,4,2,6,4,5,1,2
11,8,4,4,6,8,0,2,4,5,7,2,9,8
12,0,5,2,1,6,3,3,2,6,7,0,7,6
13,8,4,6,5,5,4,4,2,8,7,4,9,6
14,7,4,10,8,4,4,10,8,4,3,7,3,5
15,10,6,3,0,8,8,8,4,8,5,3,3,4
16,0,7,8,7,9,7,1,2,9,7,1,9,2
17,1,5,3,9,2,1,9,0,0,1,3,8,10
18,3,8,9,1,0,8,0,9,4,1,4,5,10
19,5,3,3,5,7,4,6,6,9,8,3,9,6
20,1,5,0,9,6,4,10,3,5,8,8,7,4
21,3,8,10,5,4,1,8,5,4,6,0,9,1
22,9,2,6,3,8,6,10,7,4,10,0,2,6
23,2,0,10,0,5,10,8,1,0,1,1,0,10
24,3,10,3,0,9,0,3,3,1,8,10,9,5
25,7,6,2,1,1,10,6,2,1,6,2,5,8
26,6,8,1,7,0,4,8,6,1,0,10,4,8
27,7,0,1,0,10,6,9,2,8,3,2,7,10
28,6,6,9,1,0,1,7,8,4,7,6,2,9
29,4,4,4,1,0,5,9,7,7,7,10,3,0
30,5,10,2,7,4,0,8,8,5,9,4,3,7
31,3,4,10,8,6,1,2,3,8,5,9,3,4
32,8,9,7,9,1,10,1,4,9,10,10,9,8
33,6,7,2,2,5,8,1,9,0,6,9,7,8
34,3,10,7,2,8,10,4,3,4,7,2,2,6
35,8,9,5,7,3,8,0,3,7,4,8,5,8
36,1,5,9,1,1,3,10,2,8,0,6,6,7
37,10,4,10,9,10,0,1,1,10,2,0,0,10
