,0,1,2,3,4,5
0,,6,3.0,6,5,
1,,9,3.0,7,3,9.0
2,,0,,10,8,3.0
3,,8,,2,4,
4,,8,1.0,10,5,8.0
5,,9,9.0,6,10,5.0
6,1.0,8,,10,1,6.0
7,,8,,10,0,
8,,3,,3,0,7.0
9,4.0,3,,6,5,
10,,3,2.0,7,10,3.0
11,6.0,7,,6,5,
12,,8,8.0,4,9,0.0
13,2.0,1,2.0,3,10,
14,,8,1.0,0,8,0.0
15,,4,3.0,5,10,1.0
16,,3,9.0,3,6,5.0
17,8.0,5,,5,8,7.0
18,,2,,2,7,
19,,4,,10,0,
20,,7,6.0,10,10,4.0
21,7.0,9,10.0,6,9,
22,9.0,3,,7,4,6.0
23,,0,,1,9,
24,8.0,8,,3,6,
25,1.0,7,6.0,3,0,
26,2.0,6,,1,9,
27,1.0,3,,7,10,
28,,9,0.0,10,7,
29,0.0,1,3.0,9,7,2.0
30,4.0,3,8.0,8,7,1.0
31,,6,1.0,7,8,
32,,5,,9,1,
33,,3,10.0,2,4,2.0
34,,9,,5,4,
35,10.0,7,,3,2,9.0
36,,9,,9,8,2.0
37,,9,,8,5,8.0
38,,3,,0,4,
39,,0,1.0,8,6,10.0
40,10.0,1,1.0,6,5,3.0
41,,9,,6,10,
42,,0,5.0,5,0,10.0
43,,6,,10,2,
44,,9,,7,3,
45,8.0,10,9.0,1,9,
46,,3,10.0,9,8,4.0
47,1.0,3,,1,6,7.0
48,1.0,0,4.0,3,0,3.0
49,2.0,9,,0,6,
50,,2,,4,6,3.0
51,7.0,5,7.0,2,2,
52,6.0,0,9.0,0,0,0.0
53,,5,4.0,10,6,
54,,8,4.0,7,9,
55,,4,,10,4,
56,6.0,3,,4,7,
57,,3,,7,4,4.0
58,5.0,3,,3,4,
59,,10,7.0,1,8,
60,,9,5.0,5,7,
61,8.0,8,2.0,0,8,8.0
62,,6,6.0,6,10,
63,0.0,10,4.0,1,2,5.0
64,,3,,0,1,
65,9.0,8,4.0,5,9,
66,,8,,3,5,1.0
67,,2,3.0,9,6,
68,,1,,0,6,9.0
69,2.0,7,,8,4,
70,10.0,5,,6,8,0.0
71,1.0,5,3.0,8,7,10.0
72,,5,,9,3,
73,,4,,9,5,4.0
74,,5,,9,2,3.0
75,,9,,6,6,
76,8.0,4,7.0,9,7,
77,,4,0.0,1,5,
78,,7,3.0,9,3,
79,0.0,3,2.0,8,5,
80,3.0,2,7.0,1,4,
81,,2,,10,9,3.0
82,8.0,5,3.0,9,1,5.0
83,,8,4.0,0,6,
