,0,1,2,3,4,5
0,9,0,9,4,2,8
1,9,5,8,7,9,1
2,2,6,5,6,6,4
3,7,8,1,9,0,4
4,2,0,6,2,1,1
5,3,2,4,7,10,8
6,5,0,10,3,7,0
7,10,10,6,0,3,6
8,7,4,5,4,2,6
9,9,2,6,3,0,6
10,1,8,3,8,6,5
11,8,6,10,4,7,8
12,1,6,0,1,1,1
13,8,5,6,0,10,2
14,4,7,6,6,4,1
15,3,2,5,10,6,0
16,7,5,7,10,5,7
17,7,9,2,2,0,6
18,9,4,3,1,5,4
19,3,9,1,3,1,1
20,9,3,6,7,7,2
21,8,2,3,4,0,7
22,5,5,4,2,6,1
23,0,9,2,5,10,1
24,2,2,10,7,5,8
25,1,5,2,4,1,0
26,3,8,4,10,1,0
27,5,1,4,9,5,3
28,9,3,4,6,4,0
29,9,2,2,2,4,3
30,9,3,4,0,9,6
31,9,2,0,8,0,8
32,2,4,3,1,4,2
33,9,5,3,7,9,2
34,2,5,8,4,1,1
35,0,10,0,7,1,1
36,10,10,10,6,8,9
37,1,5,10,0,4,6
38,3,4,8,5,6,3
39,1,10,1,8,6,3
40,4,0,3,10,2,3
41,0,1,10,2,0,5
42,1,6,6,6,9,9
43,5,0,10,8,9,0
44,10,6,0,1,4,9
45,7,5,10,1,9,0
46,1,1,10,10,8,9
47,2,10,4,10,3,7
48,8,0,0,7,4,0
49,9,5,7,1,1,1
50,10,2,9,1,8,8
51,2,5,10,10,7,4
52,9,6,3,0,8,0
53,7,10,2,10,5,10
54,2,0,10,4,8,2
55,8,2,10,6,10,10
56,0,1,3,4,7,2
57,8,9,10,7,8,9
58,6,4,6,8,2,1
59,7,10,8,0,4,3
60,4,4,9,0,5,3
61,6,4,4,5,6,3
62,6,0,6,2,6,5
63,2,5,0,9,9,0
64,9,3,3,3,0,5
65,2,2,5,5,3,7
66,0,6,6,7,0,7
67,4,7,6,9,7,6
68,2,5,3,1,4,5
69,4,5,0,5,2,3
70,1,6,0,2,4,10
71,1,10,6,9,9,0
72,2,10,2,1,0,10
73,2,1,9,6,7,9
74,6,10,4,5,1,3
75,2,3,10,7,2,4
76,1,5,7,2,9,10
77,6,5,9,0,8,7
78,5,6,5,6,6,8
79,7,8,1,10,7,8
80,8,4,3,9,9,4
81,6,2,5,1,9,1
82,7,9,2,6,2,4
83,4,6,7,6,5,10
84,10,5,7,7,2,6
85,9,8,0,1,4,1
86,4,5,8,10,2,7
87,9,0,0,7,10,10
88,0,4,0,0,3,4
89,1,6,4,3,2,9
90,0,2,9,0,8,8
91,3,6,8,4,10,8
92,7,7,0,7,4,4
93,9,10,8,3,7,2
94,5,1,3,3,4,8
95,8,9,10,2,1,7
96,0,4,10,4,6,7
97,2,1,8,1,0,3
98,6,4,1,9,0,4
99,3,8,6,4,8,7
100,0,10,0,5,5,9
101,5,7,0,7,7,9
102,8,1,8,9,3,8
103,3,10,7,3,4,0
104,8,9,1,5,3,4
105,4,1,7,4,10,1
106,10,9,9,3,0,5
107,5,10,10,1,6,7
108,5,7,1,4,5,6
109,1,7,1,6,5,7
110,0,4,5,3,6,1
111,4,0,5,9,4,1
112,8,3,8,2,2,7
113,9,4,4,0,5,4
114,7,5,2,0,5,6
115,4,6,5,4,10,1
116,0,10,9,4,2,4
117,9,6,0,9,4,2
118,1,5,3,5,5,5
119,6,2,2,2,1,8
120,0,5,3,5,7,3
121,4,10,9,4,5,9
122,6,10,0,1,9,8
123,3,4,5,6,7,0
124,7,1,3,0,1,6
125,1,6,0,0,1,1
126,6,4,5,2,7,3
127,4,6,10,6,7,7
128,0,8,7,7,1,8
129,7,3,7,5,4,0
130,6,5,6,9,2,3
131,3,4,9,5,9,1
132,0,2,7,7,8,8
133,10,3,3,3,1,3
134,9,1,8,9,9,6
135,6,3,9,4,8,3
136,3,1,4,8,1,6
137,0,1,6,5,5,2
138,1,9,7,5,6,2
139,7,10,6,8,4,4
140,1,4,9,1,1,9
141,6,2,3,5,4,9
142,0,2,6,7,4,5
143,6,1,9,5,8,3
144,7,8,7,0,1,10
145,10,10,9,5,1,7
146,7,6,2,7,2,6
147,6,2,1,1,4,0
148,0,0,9,2,10,9
149,8,3,7,2,3,5
150,8,2,4,4,7,8
151,4,5,2,1,7,1
152,5,10,5,3,7,3
153,0,9,2,0,0,0
154,2,3,6,9,2,5
155,6,10,6,5,9,9
156,6,3,4,8,6,8
