0,1,2,3,4,5
,6,3.0,6,5,
,9,3.0,7,3,9.0
,0,,10,8,3.0
,8,,2,4,
,8,1.0,10,5,8.0
,9,9.0,6,10,5.0
1.0,8,,10,1,6.0
2.0,8,,10,0,
3.0,3,,3,0,7.0
4.0,3,,6,5,
5.0,3,2.0,7,10,3.0
6.0,7,,6,5,
4.0,8,8.0,4,9,0.0
2.0,1,2.0,3,10,
3.5,8,1.0,0,8,0.0
5.0,4,3.0,5,10,1.0
6.5,3,9.0,3,6,5.0
8.0,5,,5,8,7.0
7.75,2,,2,7,
7.5,4,,10,0,
7.25,7,6.0,10,10,4.0
7.0,9,10.0,6,9,
9.0,3,,7,4,6.0
8.5,0,,1,9,
8.0,8,,3,6,
1.0,7,6.0,3,0,
2.0,6,,1,9,
1.0,3,,7,10,
0.5,9,0.0,10,7,
0.0,1,3.0,9,7,2.0
4.0,3,8.0,8,7,1.0
5.2,6,1.0,7,8,
6.4,5,,9,1,
7.6,3,10.0,2,4,2.0
8.8,9,,5,4,
10.0,7,,3,2,9.0
10.0,9,,9,8,2.0
10.0,9,,8,5,8.0
10.0,3,,0,4,
10.0,0,1.0,8,6,10.0
10.0,1,1.0,6,5,3.0
9.6,9,,6,10,
9.2,0,5.0,5,0,10.0
8.8,6,,10,2,
8.4,9,,7,3,
8.0,10,9.0,1,9,
4.5,3,10.0,9,8,4.0
1.0,3,,1,6,7.0
1.0,0,4.0,3,0,3.0
2.0,9,,0,6,
4.5,2,,4,6,3.0
7.0,5,7.0,2,2,
6.0,0,9.0,0,0,0.0
6.0,5,4.0,10,6,
6.0,8,4.0,7,9,
6.0,4,,10,4,
6.0,3,,4,7,
5.5,3,,7,4,4.0
5.0,3,,3,4,
6.0,10,7.0,1,8,
7.0,9,5.0,5,7,
8.0,8,2.0,0,8,8.0
4.0,6,6.0,6,10,
0.0,10,4.0,1,2,5.0
4.5,3,,0,1,
9.0,8,4.0,5,9,
7.25,8,,3,5,1.0
5.5,2,3.0,9,6,
3.75,1,,0,6,9.0
2.0,7,,8,4,
10.0,5,,6,8,0.0
1.0,5,3.0,8,7,10.0
2.4,5,,9,3,
3.8,4,,9,5,4.0
5.199999999999999,5,,9,2,3.0
6.6,9,,6,6,
8.0,4,7.0,9,7,
5.333333333333334,4,0.0,1,5,
2.666666666666667,7,3.0,9,3,
0.0,3,2.0,8,5,
3.0,2,7.0,1,4,
5.5,2,,10,9,3.0
8.0,5,3.0,9,1,5.0
7.5,8,4.0,0,6,
7.0,8,4.0,6,1,9.0
2.0,4,,9,8,5.0
2.0,2,6.0,3,9,10.0
1.0,2,3.0,4,10,0.0
0.0,4,,8,1,
5.0,7,,7,9,
3.0,10,,5,9,
2.5,2,,1,1,
2.0,4,4.0,8,4,8.0
2.125,9,,5,1,8.0
2.25,2,10.0,6,2,7.0
2.375,8,9.0,9,0,4.0
2.5,10,,0,9,8.0
2.625,10,0.0,7,4,2.0
2.75,5,,10,2,
2.875,0,6.0,7,5,
3.0,8,,4,7,
2.0,10,3.0,8,7,4.0
4.5,1,1.0,1,10,9.0
7.0,4,5.0,7,3,
3.5,9,1.0,6,0,1.0
0.0,2,,1,1,
2.0,7,4.0,1,9,
4.0,2,,7,8,4.0
3.6,1,4.0,9,2,0.0
3.2,7,,7,8,7.0
2.8,2,,6,7,
2.4,0,,1,6,5.0
2.0,6,,10,3,
2.0,4,3.0,6,3,6.0
1.0,10,,10,1,6.0
0.0,5,,6,9,2.0
3.5,4,,8,4,
7.0,7,,3,1,5.0
4.666666666666666,7,,0,9,8.0
2.333333333333333,8,,3,6,
0.0,8,,7,7,4.0
1.3333333333333333,1,7.0,6,4,
2.6666666666666665,10,10.0,0,3,2.0
4.0,5,7.0,5,1,
6.0,6,2.0,6,5,
5.666666666666667,2,,9,2,
5.333333333333333,9,,8,0,9.0
5.0,6,4.0,0,4,
6.0,2,,9,0,
5.5,4,10.0,1,6,9.0
5.0,7,3.0,10,1,
9.0,2,,6,7,2.0
9.333333333333334,8,6.0,10,4,5.0
9.666666666666666,8,,5,5,
10.0,2,,9,2,10.0
7.666666666666666,7,9.0,2,2,
5.333333333333333,4,,7,4,7.0
3.0,5,,8,9,
3.25,10,10.0,2,5,9.0
3.5,9,,5,0,4.0
3.75,1,,10,6,6.0
4.0,7,0.0,1,5,
3.5,6,3.0,4,7,
3.0,4,,8,7,10.0
2.5,7,,8,7,
2.0,1,4.0,6,5,1.0
1.7142857142857144,6,,1,10,8.0
1.4285714285714286,4,,5,6,10.0
1.1428571428571428,0,4.0,0,8,8.0
0.8571428571428572,9,,3,7,
0.5714285714285716,7,,8,4,
0.2857142857142858,3,9.0,0,9,8.0
0.0,7,,0,6,2.0
6.0,0,,4,4,
8.0,5,9.0,0,10,
10.0,7,,4,0,4.0
1.0,5,,1,3,
10.0,4,,7,6,
2.0,4,,4,10,2.0
5.0,2,8.0,7,1,8.0
8.0,1,,3,10,
6.0,10,,9,8,
4.0,3,,0,10,8.0
2.0,0,,5,1,
0.0,8,9.0,6,4,0.0
3.0,0,1.0,9,8,6.0
3.3333333333333335,8,,9,1,
3.6666666666666665,5,,5,9,
4.0,3,,10,3,6.0
2.0,3,,2,9,
0.0,10,7.0,5,1,2.0
6.0,6,10.0,3,2,7.0
6.0,10,0.0,0,5,5.0
7.0,2,4.0,6,0,
8.0,3,,3,5,0.0
6.0,2,,9,6,2.0
0.0,0,,5,0,
2.0,10,,1,10,10.0
3.0,0,5.0,10,7,10.0
4.666666666666667,3,3.0,5,6,
6.333333333333334,5,2.0,6,7,
8.0,4,,5,4,7.0
1.0,9,,7,0,
0.0,10,,6,10,6.0
2.0,0,,0,10,
4.0,5,,2,8,2.0
1.0,0,,1,9,
5.0,3,,1,1,
4.0,0,8.0,10,10,
4.0,6,,7,5,5.0
3.6666666666666665,5,,8,3,1.0
3.3333333333333335,10,,8,6,3.0
3.0,5,8.0,1,3,5.0
4.0,7,,2,6,2.0
4.0,7,10.0,3,0,7.0
4.0,4,6.0,3,1,
