0,1,2,3,4
30,12,6,24,1
4,28,0,2,16
31,20,22,17,15
13,26,20,14,34
2,20,19,10,27
9,8,16,32,25
8,39,2,21,30
10,21,28,37,33
10,7,11,3,17
4,29,4,18,39
17,17,18,7,0
24,29,14,7,32
37,34,32,40,7
40,3,27,31,6
0,19,14,2,23
33,18,10,15,1
14,19,3,9,27
5,31,37,27,18
40,26,13,11,35
30,6,37,39,27
6,15,11,22,14
28,27,16,10,12
34,9,4,38,21
2,1,6,26,39
34,9,27,39,13
15,36,25,37,29
10,36,23,31,36
24,10,21,22,4
16,12,39,21,30
10,21,31,15,30
31,3,12,20,18
0,23,31,35,10
31,23,28,24,10
38,5,34,7,23
33,19,37,38,31
16,19,13,38,5
32,20,34,23,37
32,16,30,34,40
17,34,1,3,4
24,6,31,15,1
33,6,15,1,28
2,21,2,14,35
7,3,2,33,39
35,36,8,7,31
2,30,18,8,14
21,19,25,40,37
31,15,1,7,26
15,37,34,23,36
2,15,9,8,5
20,23,21,32,8
2,9,22,7,32
37,30,25,33,1
15,6,13,33,40
10,9,8,3,28
30,1,11,31,34
37,32,36,32,34
36,37,30,9,20
4,22,18,34,11
13,31,18,6,26
24,18,4,16,37
10,18,26,9,4
37,34,17,21,33
24,8,37,28,9
30,19,11,33,9
40,2,7,14,5
35,25,9,25,35
26,32,6,23,24
24,17,8,13,29
5,28,39,4,2
14,29,10,36,35
15,36,22,8,22
31,3,17,23,12
31,10,7,40,35
34,25,34,13,36
0,5,9,3,22
15,20,29,32,18
6,9,38,3,25
11,33,21,3,40
17,11,7,19,26
25,27,10,38,26
27,3,10,29,6
13,36,12,14,39
19,15,13,31,5
28,4,3,13,17
11,14,38,29,23
15,2,18,7,13
6,23,19,32,9
29,32,36,31,12
16,7,37,8,30
25,10,26,39,35
37,23,4,1,2
34,32,37,22,14
40,23,17,19,1
37,16,18,39,18
34,19,35,3,4
23,6,12,36,35
14,2,2,2,29
29,22,10,27,22
3,0,29,12,37
40,6,29,5,23
